,Flat Name,Flat address,Possession_Starts,Avg. Price,Sizes,Project Size,Launch Date,About,images,Configurations,Project Area
47,Casagrand First City,"Sholinganallur, Perumbakkam, Chennai south, Chennai","May, 2023",4.40 K/sq.ft,1004.00 sq.ft. - 2325.00 sq.ft.,1693 units,"Oct, 2020","Chennai's residential project, Casagrand First City is offering property for sale. Check out some Apartment. Available configurations include 2 BHK, 3 BHK, 4 BHK formats in Perumbakkam. It is a Under Construction project by Casagrand Builder Private Limited. Casagrand First City is set in an area of 15 Acres  and is complete with various modern-day amenities. As per the area plan, units are in the size range of 1240.0 - 2320.0 sq.ft.. Casagrand First City was launched in October 2020 and possession date is May, 2023. There are 1693 units in Casagrand First City. Casagrand First City is located in Sholinganallur, Perumbakkam.There are multiple amenities for residents at Casagrand First City which includes Gymnasium, Power Backup. Young families with children will love the Children's Play Area, Kid's Pool, nearby apart from Swimming Pool, Recreation Facilities. Sports enthusiasts will like the Tennis Court, Football Field, Cricket Pitch, Squash Court, Volleyball Court, Skating Rink, Aerobics Room, Cycling & Jogging Track, Golf Course. Enjoy access to Barbecue Area, Spa/Sauna/Steam, Conference Room, provisions in the project. The property has Fire Sprinklers. It is an Earthquake Resistant Structure. There is 24x7 Security. It is a Gated Community. Other provisions include access to Business Center, Banquet Hall, Party Hall, Temple, Landscaped Garden, Sewage Treatment Plant, Multipurpose Room. Own a home in Casagrand First City today!.Attractive offers are also going on, contact for more information on deals like 100+ World Class Amenities and Features. 1.5 acres Club House, 5 Acres Lush Greenery.Casagrand First City is a RERA registered project with ID TN/01/Building/0114/2021.Perumbakkam is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/9771f65084face7d3588e8a77f2297e1/v0/_p/casagrand_first_city-sholinganallur_chennai-chennai-casagrand_builder_private_limited.jpg', 'https://is1-3.housingcdn.com/4f2250e8/9771f65084face7d3588e8a77f2297e1/v0/large/casagrand_first_city-sholinganallur_chennai-chennai-casagrand_builder_private_limited.jpg', 'https://img.youtube.com/vi/1RKTui73fWw/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/02b8857b83e4bd74deb95aab596c33e5/v0/_p.jpg', 'https://daecrzzg3cbmx.cloudfront.net/prod/digitour/projects/620b94e2ab0d9800119e2b9d/preview.jpg']","2, 3, 4 BHK Apartments",15 Acres (75% open)
48,Navins Starwood Towers 2,"Mambakkam, Vengaivasal, Chennai south, Chennai",Ready to Move,5.95 K/sq.ft,591.00 sq.ft. - 1484.00 sq.ft.,3 Buildings - 410 units,"May, 2018","Welcome to homes that let you discover the wonder of everyday life at Navin’s Starwood towers 2.0. Step into Navin’s Starwood towers 2.0 and discover how small detailing and delights go into making your daily life comfortable and joyous. Discover the perks of living a bustling life in a vibrant community. Make time for play with your children, go for that everyday twilight walk with your partner, invite your friends to cool in the pool during weekends. Explore comforts and conveniences that make your life leisurely, and meaningful. At Navin’s Starwood towers 2.0 a contemporary life awaits you.","['https://is1-3.housingcdn.com/4f2250e8/1dd5d2db12a3da018f278f9cb5fbe55e/v0/_p/navins_starwood_towers_2-medavakkam-chennai-navins_housing__properties_p_ltd.jpg', 'https://is1-3.housingcdn.com/4f2250e8/1dd5d2db12a3da018f278f9cb5fbe55e/v0/large/navins_starwood_towers_2-medavakkam-chennai-navins_housing__properties_p_ltd.jpg', 'https://img.youtube.com/vi/07uMts847fQ/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/2cafbe88e7fc1a06d6175ec2439b250d/v0/_p.jpg']","2, 3 BHK Apartments",9.85 Acres (79% open)
49,Casagrand Zenith,"Medavakkam, Chennai south, Chennai","Apr, 2022",4.65 K/sq.ft,1360.00 sq.ft. - 1799.00 sq.ft.,4 Buildings - 949 units,,,"['https://is1-2.housingcdn.com/4f2250e8/854fbcd22dfa6e2f23ca85e85aa1d83b/v0/_p/casagrand_zenith-medavakkam-chennai-casagrand_builder_private_limited.jpg', 'https://is1-2.housingcdn.com/4f2250e8/854fbcd22dfa6e2f23ca85e85aa1d83b/v0/large/casagrand_zenith-medavakkam-chennai-casagrand_builder_private_limited.jpg', 'https://img.youtube.com/vi/b8xE1GCX3mU/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/97a151b5b3bd88140e8b4f0883962111/v0/_p.jpg']",3 BHK Apartment,7.46 Acres
50,Casagrand Zenith,"Medavakkam, Chennai south, Chennai","Apr, 2022",4.65 K/sq.ft,1360.00 sq.ft. - 1799.00 sq.ft.,4 Buildings - 949 units,,,"['https://is1-2.housingcdn.com/4f2250e8/854fbcd22dfa6e2f23ca85e85aa1d83b/v0/_p/casagrand_zenith-medavakkam-chennai-casagrand_builder_private_limited.jpg', 'https://is1-2.housingcdn.com/4f2250e8/854fbcd22dfa6e2f23ca85e85aa1d83b/v0/large/casagrand_zenith-medavakkam-chennai-casagrand_builder_private_limited.jpg', 'https://img.youtube.com/vi/b8xE1GCX3mU/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/97a151b5b3bd88140e8b4f0883962111/v0/_p.jpg']",3 BHK Apartment,7.46 Acres
51,Celesta,"Jayachandran Nagar, Pallikaranai, Medavakkam, Chennai south, Chennai","Dec, 2022",6.35 K/sq.ft,1153.00 sq.ft. - 1560.00 sq.ft.,5 Buildings,,"Celesta is Located in Jayachandran nagar @ Pallikaranai Chennai.A few words about Celesta:  A Premium affordable Luxury apartment project in Jayachandran nagar @ Pallikaranai, which is an attractive neighbourhood for the urban middle class population due to its strategic location advantage and proximity to leading IT companies and premium Educational institutions.

The Celesta is sprawling on a lavish 23.1 grounds with stilt plus five structures with three side open areas and no common wall sharing feature, also Encompassing with all the essentials that you expect in an urban lifestyle to live in peace and tranquillity.","['https://is1-2.housingcdn.com/4f2250e8/3abae6788e87380a152d1796a21fd3a2/v0/_p/celesta-pallikaranai-chennai-krishna_constructions.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/3abae6788e87380a152d1796a21fd3a2/v0/large/celesta-pallikaranai-chennai-krishna_constructions.jpeg', 'https://img.youtube.com/vi/uJWqWpzKpos/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/180ca55a44dfb6e240da6cb569b16dfd/v0/_p.jpeg']","2, 2.5, 3 BHK Apartments",
52,M C Chenthur Flats,"Kulakarai Street, Santhosapuram, Medavakkam, Chennai south, Chennai","Jul, 2021",5.50 K/sq.ft,787.00 sq.ft. - 1163.00 sq.ft.,1 Building - 6 units,"Dec, 2020","Check out this residential project for sale by M C Builder in Medavakkam, Chennai. M C Chenthur Flats offers Apartment as property type. It is currently Ready to Move. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size range of 787.0 - 1163.0 sq.ft.. M C Chenthur Flats was launched in January 2021. M C Chenthur Flats possession is Jul, 2021. Altogether, there are 6 units available. There is 1 building in this property. The address of M C Chenthur Flats is Kulakarai Street, Santhosapuram, Medavakkam.At M C Chenthur Flats, all residents have easy access to some of the truly desired facilities such as RO Water System. There is 24x7 Security. Come home to M C Chenthur Flats.HDFC have approved home loans for M C Chenthur Flats.M C Chenthur Flats is approved by the state regulatory authority and the RERA ID is Rera Not Required.M C Builder is a renowned developer firm.Medavakkam is a prime area, with many attractions work and recreational options just a drive away.","['https://is1-2.housingcdn.com/4f2250e8/deac74b5487aafa18e6b2df3b4c708b4/v0/_p/m_c_chenthur_flats-medavakkam-chennai-m_c_builder.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/deac74b5487aafa18e6b2df3b4c708b4/v0/large/m_c_chenthur_flats-medavakkam-chennai-m_c_builder.jpeg', 'https://is1-3.housingcdn.com/012c1500/3ba70014d20451b57d2c72bea7a85ba3/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/96b4ef7bb3defc30e50eccce354b4d32/v0/_p.jpeg']","2, 3 BHK Apartments",
53,Anu Sri Ishwarya Garden,"Medavakkam, Chennai south, Chennai","Apr, 2022",5.90 K/sq.ft,867.00 sq.ft. - 1327.00 sq.ft.,2 Buildings - 8 units,,"Chennai's residential project, Anu Sri Ishwarya Garden is offering property for sale. Check out some Apartment. Available configurations include 2 BHK, 3 BHK formats in Medavakkam. It is a Under Construction project by Anu Shree Constructions. As per the area plan, units are in the size range of 867.0 - 1327.0 sq.ft.. There are 8 units in Anu Sri Ishwarya Garden. There are 2 buildings. Anu Sri Ishwarya Garden is located in Medavakkam.There are multiple amenities for residents at Anu Sri Ishwarya Garden which includes Power Backup. The property has Fire Sprinklers. Own a home in Anu Sri Ishwarya Garden today!.Anu Sri Ishwarya Garden is a RERA registered project with ID Rera Not Required.Medavakkam is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/edad666528294f9519675daaf6499222/v0/_p/anu_sri_ishwarya_garden-medavakkam-chennai-anu_shree_constructions.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/edad666528294f9519675daaf6499222/v0/large/anu_sri_ishwarya_garden-medavakkam-chennai-anu_shree_constructions.jpeg', 'https://is1-2.housingcdn.com/012c1500/90b7f496db84843f7562928fe63eebcd/v0/_p.jpeg', 'https://is1-2.housingcdn.com/91aba65c/b34f3832a78c8d1f41eeda001a061a8a/v0/_p.jpeg']","2, 3 BHK Apartments",
54,Celesta,"Jayachandran Nagar, Pallikaranai, Medavakkam, Chennai south, Chennai","Dec, 2022",6.35 K/sq.ft,1153.00 sq.ft. - 1560.00 sq.ft.,5 Buildings,,"Celesta is Located in Jayachandran nagar @ Pallikaranai Chennai.A few words about Celesta:  A Premium affordable Luxury apartment project in Jayachandran nagar @ Pallikaranai, which is an attractive neighbourhood for the urban middle class population due to its strategic location advantage and proximity to leading IT companies and premium Educational institutions.

The Celesta is sprawling on a lavish 23.1 grounds with stilt plus five structures with three side open areas and no common wall sharing feature, also Encompassing with all the essentials that you expect in an urban lifestyle to live in peace and tranquillity.","['https://is1-2.housingcdn.com/4f2250e8/3abae6788e87380a152d1796a21fd3a2/v0/_p/celesta-pallikaranai-chennai-krishna_constructions.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/3abae6788e87380a152d1796a21fd3a2/v0/large/celesta-pallikaranai-chennai-krishna_constructions.jpeg', 'https://img.youtube.com/vi/uJWqWpzKpos/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/180ca55a44dfb6e240da6cb569b16dfd/v0/_p.jpeg']","2, 2.5, 3 BHK Apartments",
55,BSCPL Bollineni Zion,"OMR, Perumbakkam, Chennai south, Chennai","Jun, 2024",3.70 K/sq.ft,885.00 sq.ft. - 1570.00 sq.ft.,581 units,"Jan, 2021","Bollineni Zion, located in Perumbakkam, Chennai is a residential development launched by BSCPL Infrastructure Ltd. Prominent suburbs of Chennai are close by and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice among home seekers. 
   
Note that units under the PMAY scheme are available as per norms.","['https://is1-2.housingcdn.com/4f2250e8/02ba29fb96e893f9ff7a2de399e970d4/v0/_p/bscpl_bollineni_zion-omr-chennai-bscpl_infrastructure_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/02ba29fb96e893f9ff7a2de399e970d4/v0/large/bscpl_bollineni_zion-omr-chennai-bscpl_infrastructure_ltd.jpeg', 'https://img.youtube.com/vi/Utm6be8pf2w/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/41efe4c15c5a995e6c1a9477fe3e3cd3/v0/_p.jpeg']","2, 2.5, 3 BHK Apartments",23.5 Acres (60% open)
56,Pearl Petunia,"Sowmya Nagar, 1st Street And Rajiv Gandhi Street, Perumbakkam, Chennai south, Chennai","Dec, 2022",5.60 K/sq.ft,914.00 sq.ft. - 1033.00 sq.ft.,1 Building - 15 units,"Oct, 2021","Pearl Petunia is a project by Pearl Constructions in Chennai. It is a Under Construction project. Pearl Petunia offers some of the most conveniently designed Apartment. Located in Perumbakkam, it is a residential project. It has 15 units. There is 1 building in this project. Pearl Petunia offers some of the most exclusive 2 BHK. As per the area plan, units are in the size range of 914.0 - 1033.0 sq.ft.. Launched in November 2021, Pearl Petunia is slated for possession in Dec, 2022. The address of Pearl Petunia is Sowmya Nagar, 1st Street And Rajiv Gandhi Street, Perumbakkam.Pearl Petunia ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. The property has Fire Sprinklers. Some other provisions include access to Landscaping & Tree Planting, Sewage Treatment Plant.The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of Pearl Petunia is TN/01/Building/0378/2021 dated 16/11/2021.Established in 2010, Pearl Constructions is a renowned developer firm. Till date, Pearl Constructions has developed 39 projects with a focus on healthy and sustainable lifestyle.Perumbakkam is well-connected to other parts of the city via an extensive road.","['https://is1-2.housingcdn.com/4f2250e8/9f11ab9f2a1a0a9ecab689d6221af435/v0/_p/pearl_petunia-perumbakkam-chennai-pearl_constructions.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/9f11ab9f2a1a0a9ecab689d6221af435/v0/large/pearl_petunia-perumbakkam-chennai-pearl_constructions.jpeg', 'https://is1-2.housingcdn.com/012c1500/8464f732ce4662523adbb01c2761f702/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/ea8d313969d9bf047379718e7d096d17/v0/_p.jpeg']",2 BHK Apartment,
57,Vishnu MC Joel Flats,"Ganesh Nagar, Chitlapakkam, Chennai south, Chennai",Under Construction,6.50 K/sq.ft,1362.00 sq.ft. - 1404.00 sq.ft.,1 Building - 6 units,"Dec, 2021","Check out this residential project for sale by Vishnu Foundation in Chitlapakkam, Chennai. Vishnu MC Joel Flats offers Apartment as property type. It is currently Under Construction. Available configurations include 3 BHK. As per the area plan, units are in the size range of 1362.0 - 1404.0 sq.ft.. Vishnu MC Joel Flats was launched in January 2022. Vishnu MC Joel Flats possession is Sep, 2022. Altogether, there are 6 units available. There is 1 building in this property. The address of Vishnu MC Joel Flats is Ganesh Nagar, Chitlapakkam.At Vishnu MC Joel Flats, all residents have easy access to some of the truly desired facilities such as Power Backup. Come home to Vishnu MC Joel Flats.Vishnu MC Joel Flats is approved by the state regulatory authority and the RERA ID is Rera Not Required.Vishnu Foundation is a renowned developer firm.Chitlapakkam is a prime area, with many attractions work and recreational options just a drive away.","['https://is1-2.housingcdn.com/4f2250e8/24157380dd1823abf2f69651223f9592/v0/_p/vishnu_mc_joel_flats-chitlapakkam-chennai-vishnu_foundation.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/24157380dd1823abf2f69651223f9592/v0/large/vishnu_mc_joel_flats-chitlapakkam-chennai-vishnu_foundation.jpeg', 'https://is1-2.housingcdn.com/012c1500/966151cd3b5347359dfb293a5271d90c/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/aea77549f95c324ce9cfc49ac9240a62/v0/_p.jpeg']",3 BHK Apartment,
58,Arun Excello Sharada,"Survey No.311/1a Part, 311/1b Part Of Sholinganallur, Chennai south, Chennai","Sep, 2022",6.50 K/sq.ft,495.00 sq.ft. - 1381.00 sq.ft.,,,"Arun Sharada is a project by Arun Excello Homes Private Limited. Arun Sharada is a Under Construction residential project. Arun Sharada is located in Survey No.311/1a Part, 311/1b Part Of Sholinganallur.Arun Sharada offers a host of facilities for residents. These amenities in Arun Sharada are those that every homebuyer aspires for!.RERA ID is TN/01/Building/0075/2020.Arun Sharada is RERA-compliant and all necessary approvals are in place.Sholinganallur is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/619e270e4d7637fb21cc98b844240471/v0/_p/arun_excello_sharada-sholinganallur_chennai-chennai-arun_excello_homes_private_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/619e270e4d7637fb21cc98b844240471/v0/large/arun_excello_sharada-sholinganallur_chennai-chennai-arun_excello_homes_private_limited.jpeg']","1, 2, 3 BHK Apartments",
59,Pearl Petunia,"Sowmya Nagar, 1st Street And Rajiv Gandhi Street, Perumbakkam, Chennai south, Chennai","Dec, 2022",5.60 K/sq.ft,914.00 sq.ft. - 1033.00 sq.ft.,1 Building - 15 units,"Oct, 2021","Pearl Petunia is a project by Pearl Constructions in Chennai. It is a Under Construction project. Pearl Petunia offers some of the most conveniently designed Apartment. Located in Perumbakkam, it is a residential project. It has 15 units. There is 1 building in this project. Pearl Petunia offers some of the most exclusive 2 BHK. As per the area plan, units are in the size range of 914.0 - 1033.0 sq.ft.. Launched in November 2021, Pearl Petunia is slated for possession in Dec, 2022. The address of Pearl Petunia is Sowmya Nagar, 1st Street And Rajiv Gandhi Street, Perumbakkam.Pearl Petunia ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. The property has Fire Sprinklers. Some other provisions include access to Landscaping & Tree Planting, Sewage Treatment Plant.The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of Pearl Petunia is TN/01/Building/0378/2021 dated 16/11/2021.Established in 2010, Pearl Constructions is a renowned developer firm. Till date, Pearl Constructions has developed 39 projects with a focus on healthy and sustainable lifestyle.Perumbakkam is well-connected to other parts of the city via an extensive road.","['https://is1-2.housingcdn.com/4f2250e8/9f11ab9f2a1a0a9ecab689d6221af435/v0/_p/pearl_petunia-perumbakkam-chennai-pearl_constructions.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/9f11ab9f2a1a0a9ecab689d6221af435/v0/large/pearl_petunia-perumbakkam-chennai-pearl_constructions.jpeg', 'https://is1-2.housingcdn.com/012c1500/8464f732ce4662523adbb01c2761f702/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/ea8d313969d9bf047379718e7d096d17/v0/_p.jpeg']",2 BHK Apartment,
60,Pearl Queens Park,"Medavakkam, Chennai south, Chennai","Apr, 2024",5.00 K/sq.ft,823.00 sq.ft. - 1340.00 sq.ft.,,,,"['https://is1-3.housingcdn.com/4f2250e8/be725f61eaf6f8a126c45657cb1c64c9/v0/_p/pearl_queens_park-medavakkam-chennai-pearl_constructions.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/be725f61eaf6f8a126c45657cb1c64c9/v0/large/pearl_queens_park-medavakkam-chennai-pearl_constructions.jpeg', 'https://is1-2.housingcdn.com/012c1500/2a39deb7405006459822b0ce3016ddd6/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/15a6e07bcb90dc1e9a8c3f78679d01b5/v0/_p.jpeg']","2, 2.5, 3 BHK Apartments",
61,Sai Dhanalakshmi Flats,"Medavakkam, Chennai south, Chennai",Ready to Move,5.30 K/sq.ft,813.00 sq.ft. - 1410.00 sq.ft.,1 Building - 12 units,"Jun, 2020",,"['https://is1-3.housingcdn.com/4f2250e8/99fb9881a6bd11b90bb1a7087aa9279f/v0/_p/sai_dhanalakshmi_flats-medavakkam-chennai-sai_homes.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/99fb9881a6bd11b90bb1a7087aa9279f/v0/large/sai_dhanalakshmi_flats-medavakkam-chennai-sai_homes.jpeg', 'https://is1-3.housingcdn.com/012c1500/1b784caac53581089e26ae626f2246f9/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/d3f31f5389d1ed1b8374bfdf18327122/v0/_p.jpeg']","2, 3 BHK Apartments",
62,The Nest Passion,"12 th Street,Gajendra Nagar, Soumya Nagar, Medavakkam, Chennai south, Chennai",Ready to Move,5.00 K/sq.ft,1010.00 sq.ft.,1 Building - 8 units,"Oct, 2019","Chennai's residential project, The Nest Passion is offering property for sale. Check out some Apartment. Available configurations include 2 BHK formats in Medavakkam. It is a Ready to Move project by The Nest Builder. The Nest Passion is set in an area of 0.12 Acres  and is complete with various modern-day amenities. As per the area plan, units are in the size of 1010.0 sq.ft.. The Nest Passion was launched in November 2019 and possession date is Aug, 2020. There are 8 units in The Nest Passion. There is 1 building. The Nest Passion is located in 12 th Street,Gajendra Nagar, Soumya Nagar, Medavakkam.There are multiple amenities for residents at The Nest Passion which includes Power Backup. The property has Fire Sprinklers. Own a home in The Nest Passion today!.The Nest Passion is a RERA registered project with ID Rera Not Required.Medavakkam is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/5788081993e9289e3f66f81b613b28ab/v0/_p/the_nest_passion-medavakkam-chennai-the_nest_builder.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/5788081993e9289e3f66f81b613b28ab/v0/large/the_nest_passion-medavakkam-chennai-the_nest_builder.jpeg', 'https://is1-2.housingcdn.com/91aba65c/259b20c17745657f17c4466621edb710/v0/_p.jpeg']",2 BHK Apartment,0.12 Acres
63,The Nest Glory,"Sholinganallur, Chennai south, Chennai",Ready to Move,Price on request,550.00 sq.ft. - 1290.00 sq.ft.,,,"Prime housing project Glory is developed by real estate company The Nest, it is located in Sholinganallur, Chennai. The project is offering beautiful and comfortable 1, 2, and 3 BHK apartments for sale. Built-up area of 1 BHK apartments is in the range of 550 to 585 sq ft. for 2 BHK apartments it is in the range of 745 to 860 sq ft. and for 3 BHK apartments it is in the range of 990 to 1290 sq ft. Amenities which are essential for comfort of living are available in the complex, they are round the clock security, car parking areas, landscaped gardens, rain water harvesting and others. Housing is vaastu compliant and it is a gated community providing safety and security to the residents. Apartments in Glory can be bought from owners of the apartments which are put up for sale. Sholinganallur is a sought after area among home buyers in Chennai as it is houses a number of BPO and IT companies. Infrastructure of the area is well-developed with many reputed schools, educational institutes, and hospitals established here. Restaurants, banks, and other utility shops are also located in the vicinity. Sholinganallur is well-connected to other areas by a network of road and rail transport. It is a comfortable locality to own a residential place.","['https://is1-3.housingcdn.com/4f2250e8/eb68ea8964aa993ae736f3487ce82d3e/v0/_p/the_nest_glory-medavakkam-chennai-the_nest_builder.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/eb68ea8964aa993ae736f3487ce82d3e/v0/large/the_nest_glory-medavakkam-chennai-the_nest_builder.jpeg', 'https://is1-3.housingcdn.com/012c1500/322bfbc9888e38d43de00684ec650de4/v0/_p.jpeg']","1, 2, 3 BHK Apartments",
64,Navins Starwood Towers 2,"Mambakkam, Vengaivasal, Chennai south, Chennai",Ready to Move,5.95 K/sq.ft,591.00 sq.ft. - 1484.00 sq.ft.,3 Buildings - 410 units,"May, 2018","Welcome to homes that let you discover the wonder of everyday life at Navin’s Starwood towers 2.0. Step into Navin’s Starwood towers 2.0 and discover how small detailing and delights go into making your daily life comfortable and joyous. Discover the perks of living a bustling life in a vibrant community. Make time for play with your children, go for that everyday twilight walk with your partner, invite your friends to cool in the pool during weekends. Explore comforts and conveniences that make your life leisurely, and meaningful. At Navin’s Starwood towers 2.0 a contemporary life awaits you.","['https://is1-3.housingcdn.com/4f2250e8/1dd5d2db12a3da018f278f9cb5fbe55e/v0/_p/navins_starwood_towers_2-medavakkam-chennai-navins_housing__properties_p_ltd.jpg', 'https://is1-3.housingcdn.com/4f2250e8/1dd5d2db12a3da018f278f9cb5fbe55e/v0/large/navins_starwood_towers_2-medavakkam-chennai-navins_housing__properties_p_ltd.jpg', 'https://img.youtube.com/vi/07uMts847fQ/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/2cafbe88e7fc1a06d6175ec2439b250d/v0/_p.jpg']","2, 3 BHK Apartments",9.85 Acres (79% open)
65,The Nest Nest Charm,"Soumya Nagar, Medavakkam, Chennai south, Chennai","May, 2020",5.60 K/sq.ft,815.00 sq.ft. - 1330.00 sq.ft.,1 Building - 12 units,"May, 2019","Chennai's residential project, The Nest Nest Charm is offering property for sale. Check out some Apartment. Available configurations include 2 BHK, 3 BHK formats in Medavakkam. It is a Ready to Move project by The Nest Builder. As per the area plan, units are in the size range of 815.0 - 1330.0 sq.ft.. The Nest Nest Charm was launched in May 2019 and possession date is May, 2020. There are 12 units in The Nest Nest Charm. There is 1 building. The Nest Nest Charm is located in Soumya Nagar, Medavakkam.There are multiple amenities for residents at The Nest Nest Charm which includes Power Backup. The property has Fire Sprinklers. It is an Earthquake Resistant Structure. It is a Gated Community. Own a home in The Nest Nest Charm today!.The Nest Nest Charm is a RERA registered project with ID Rera Applied.Medavakkam is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/ac52fb2f69ec69e93c04bb0e08b64577/v0/_p/the_nest_nest_charm-medavakkam-chennai-the_nest_builder.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/ac52fb2f69ec69e93c04bb0e08b64577/v0/large/the_nest_nest_charm-medavakkam-chennai-the_nest_builder.jpeg', 'https://is1-2.housingcdn.com/012c1500/258483079f0caab57484b27e26837788/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/66f25cc51caec6f49377ab9f2f54905a/v0/_p.jpeg']","2, 3 BHK Apartments",
66,Ozone Greens,"68/1A, Jalladianpet Joint, Perumbakkam Main Road, VGP Prabhu Nagar, Medavakkam, Chennai south, Chennai","Dec, 2020",4.50 K/sq.ft,651.00 sq.ft. - 2575.00 sq.ft.,23 Buildings - 1611 units,"Jul, 2008","Ozone Greens is a project by Ozone Group in Chennai. It is a Under Construction project. Ozone Greens offers some of the most conveniently designed Apartment. Located in Medavakkam, it is a residential project. The project is spread over 15 Acres . It has 1611 units. There are 23 buildings in this project. Ozone Greens offers some of the most exclusive 1 BHK, 2 BHK, 2.5 BHK, 3 BHK, 4 BHK. As per the area plan, units are in the size range of 651.0 - 2575.0 sq.ft.. Launched in August 2008, Ozone Greens is slated for possession in Dec, 2020. The address of Ozone Greens is 68/1A, Jalladianpet Joint Jalladianpet, Near, Perumbakkam Main Road, VGP Prabhu Nagar, Medavakkam.Ozone Greens ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. If you are a sports lover, there are provisions meant for you such as Cycling & Jogging Track. Residents also have access to ATM provisions in the project. Young families with kids can explore modern-arrangements for leisure and play such as Children's Play Area, nearby apart from Swimming Pool. There is 24x7 Security. Some other provisions include access to Landscaped Garden, Staff Quarter. There is provision for Closed Car Parking.The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of Ozone Greens is TN/01/Building/0021/2017, TN/01/Building/0022/2017, TN/01/Building/0023/2017, TN/01/Building/0024/2017 & TN/01/Building/0027/2017.Established in 2006, Ozone Group is a renowned developer firm. Till date, Ozone Group has developed 30 projects with a focus on healthy and sustainable lifestyle.Medavakkam is well-connected to other parts of the city via an extensive road.","['https://is1-3.housingcdn.com/4f2250e8/a42ea2ef937ca89005b70b29da15abfb/v0/_p/ozone_greens-medavakkam-chennai-ozone_group.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/a42ea2ef937ca89005b70b29da15abfb/v0/large/ozone_greens-medavakkam-chennai-ozone_group.jpeg', 'https://img.youtube.com/vi/6czmYXGrw9U/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/10f6b007cbc067140a10b4fa4f929f57/v2/_p.jpg']","1, 2, 2.5, 3, 4 BHK Apartments",15 Acres
