,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,About,images,Rera Id
37,Unique Legacy Majestic,"Plot No. 35/1A/6, 35/1A/15, 36/2A/14, Mundhwa, Pune",2 BHK Apartment,"Oct, 2023",8.00 K/sq.ft,543.00 sq.ft. - 631.00 sq.ft.,1 Acres,2 Buildings - 66 units,"Sep, 2019","Mundhwa, Pune is home to residential project Legacy Majestic launched by well-known real estate firm Unique Group. The project will be spread on a total area of 0.98 acres and is offering 1 and 2 BHK apartments for sale. Carpet area of 1 BHK apartments is 433 sq ft. and for 2 BHK apartments it is in the range of 543 to 631 sq ft. Amenities available for the convenience of residents are closed car parking areas, open parking areas, open area for recreational purpose, community buildings, landscaped gardens, electrical meter room, sub-station, receiving station, fire protection, fire safety equipment, well-lit internal roads, stormwater drains, and other facilities are provided in the complex. All work related to treatment and disposal of sewage and sullage water, sewerage chamber, lines, septic tank, and STP are handled in the housing. Water conservation and rainwater harvesting are done to save water. Mundhwa is a popular residential area in Pune. It is located close to Pune IT hubs like Magarpatta and Kharadi and it is well-connected to other suburbs like Sharad Nagar, Shankar Nagar, Keshav Nagar, Jadhav Nagar, Koregaon Park, Hadapsar, and Kalyani Nagar. There are a number of reputed schools, educational institutes, and hospitals established here. Restaurants, banks, and other utility shops are also located in the vicinity. Legacy Majestic will be ready for possession in October 2023, developer Unique Group can be contacted for purchase of apartments.","['https://is1-2.housingcdn.com/4f2250e8/4e1fd1f4c082630d8aa3a5dfcc7e3dc2/v0/_p/unique_legacy_majestic-mundhwa-pune-unique_properties.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/4e1fd1f4c082630d8aa3a5dfcc7e3dc2/v0/large/unique_legacy_majestic-mundhwa-pune-unique_properties.jpeg', 'https://img.youtube.com/vi/L639_HNdXj0/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/1008a29f0c1850cd64971418f985ec87/v0/_p.jpeg']",
38,Nanded City Pune Rhythm I II III,"Nanded City, Sinhagad Road, Pune",Residential Plots,"Sep, 2024",Price on request,2400.00 sq.ft. - 5234.00 sq.ft.,26 Acres,,,"Virtually like an island surrounded by the river, the stream and the canal, the plot project in Nanded City, Pune is a distinctive location within the larger township. The 32 acres of prime land is distributed into 3 sectors - Rhythm I, II and III. Extremely ideal for family bungalows, these plots on the western edge of Pune city receive fresh breeze throughout the year. Construct your aesthetically beautiful premium bungalow in secured environment, controlled by 24x7 security. The traffic calming measures and distinct cycle tracks along with peaceful surroundings, makes living here more at ease.- Your plot within a 700 Acre Township Project - Benefits of living within Nanded City, Pune - Peaceful, Pollution-free and soothing environment - A fantastic Riverside location - Scenic Location with Mountain views - Secured and High-Class Living - In vicinity of Khadakwasla Dam - Exclusive 32 Acre Club Harmony Membership *Club Membership extra payable on demand","['https://is1-3.housingcdn.com/4f2250e8/fb402a0d02977d82b1eef87c1e248be9/v0/_p/nanded_city_pune_rhythm_i_ii_iii-nanded-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/fb402a0d02977d82b1eef87c1e248be9/v0/large/nanded_city_pune_rhythm_i_ii_iii-nanded-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-2.housingcdn.com/012c1500/0cfe06315301360d87c75099e14b726c/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/1586c3b8fca598f68e2ff119a49e86b4/v0/_p.jpeg']",
39,Nanded Kalashree,"S No 67 Pt 68 Pt A, Dhayari, Sinhagad Road, Pune","2, 2.5 BHK Apartments","Nov, 2022",7.21 K/sq.ft,650.00 sq.ft. - 700.00 sq.ft.,6 Acres,680 units,"Nov, 2019","Kalashree is a premium residential project launched by leading real estate firm Nanded City Development in Dhayari, Pune. The project will be spread over a total area of 5.83 acres and is offering beautiful and comfortable 2 BHK apartments exclusively. Carpet area of 2 BHK apartments is 633 sq ft. Amenities available for the convenience of residents are closed car parking areas, open parking areas, community buildings, lifts, gymnasium, tennis court, badminton court, jogging track, swimming pool, skating rink, open area for recreational activities, landscaping and tree planting, electrical meter room, sub-station, receiving station, fire protection, fire safety equipment, well-lit internal roads, regular supply of water, and other facilities are provided in the complex. All work related to solid waste management and disposal, treatment of sewage and sullage water, sewerage chamber, lines, septic tank, and STP are handled in the premises. Water conservation, energy management, and rainwater harvesting are done to save resources. CCTV cameras will be installed in the complex for the safety and security of the residents. Specifications included in the apartments are vitrified tiles flooring in living room, bedrooms, kitchen and balconies, matt finish tiles flooring in bathrooms, oil bound distemper on walls, concealed plumbing, granite platform with stainless steel sink in the kitchen, aluminium powder coated windows, concealed copper wiring, modular switches, a decorative laminated door at the entrance, and RCC framed structure. Dhayari is a popular area in Pune. It is surrounded by Pimpri Taluka towards its North, Velhe Taluka towards its West and Purandar Taluka towards the East. Some of its important nearby localities are Pimpri-Chinchwad, Sasvad, Talegaon Dabhade. Many reputed schools, educational institutes, and hospitals are established here. Restaurants, banks, and other utility shops are also located in the vicinity. Dhayari is well-connected to other areas by a network of road transport. It is a comfortable locality to own a residential place. Kalashree is under construction, it was launched in December 2019 and will be ready by May 2022 for possession. Nanded City Development can be contacted for owning an apartment.","['https://is1-3.housingcdn.com/4f2250e8/2e77b35dd9afffa161bbdc5531cc1e64/v0/_p/nanded_kalashree-nanded-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/2e77b35dd9afffa161bbdc5531cc1e64/v0/large/nanded_kalashree-nanded-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/2b704f934527e6933803ab8fed3d35d4/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/2e7d4acc5ec6ce9c418dc3bd238252f1/v0/_p.jpeg']",
40,Nanded Sargam At Nanded City,"Plot No.S No13P14P15P16P17P, Nanded, Haveli, Near Dhayari, Sinhagad Road, Pune","2, 2.5, 3 BHK Apartments","Mar, 2019",8.43 K/sq.ft,665.00 sq.ft. - 1033.00 sq.ft.,13 Acres,7 Buildings - 1736 units,"Nov, 2014","Sargam at Nanded City is a residential project developed by Nanded City Development and Construction at Nanded in Pune. The project aims to offer a comfortable living condition to the residents by encompassing , adding to its existing many facilities.","['https://is1-3.housingcdn.com/4f2250e8/496a02cd89797efa356ea16f4858a5e9/v0/_p/nanded_sargam_at_nanded_city-nanded-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/496a02cd89797efa356ea16f4858a5e9/v0/large/nanded_sargam_at_nanded_city-nanded-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/da20f00f7476f10341fde0bf37dbf981/v0/_p.jpg', 'https://is1-2.housingcdn.com/012c1500/dec7f6fb7e1b50252d8b7cf7646ddd29/v0/_p.jpg']",
41,Venkatesh Skydale,"Sr.No. 20, Plot No. H, Beside Rajaram Bridge, Sinhagad Road, Pune","2, 3, 5 BHK Apartments","Mar, 2024",Price on request,926.00 sq.ft. - 2629.00 sq.ft.,,,,"At Venkatesh Skydale, every nook and corner of the homes inspire exuberant living and exude elegance at its forest. Living in such magnificent 2, 3, 4 & 5 BHK homes is more than just a luxury - it is a privilege. Strategically located at the heart of Pune beside Rajaram Bridge, Sinhagad Road, these homes are thoughtfully designed with world-class amenities for you to indulge into endless moments of joy. Not just that, malls, hospitals, schools & colleges, everything you need, are centrally located within a stone's throw. At Venkatesh Skydale, we have 501 Flats, 20 Shops & 23 Offices, it inspire you to LOOK UP to the rich grandeur, just as we look up to your greatness. With such a lively environment and lovely spaces, the sheer abundance at Venkatesh Skydale plays the perfect symphony of serenity and bliss. The cordially crafted state•of-the•an amenities stir your enthusiasm and uplift your exuberance. Spreading joy and sharing smiles would become a daily practice at Venkatesh Skydale. The homes at Venkatesh Skydale are designed to offer you the state-of-the•art amenities crafted to delight you. The experience of absolute comfort and unmatched style is what defines the uniqueness of Venkatesh Skydale. Come, be a part of a community that experiences exquisiteness all around. While the superior craftsmanship intrigues the artist in everyone, the artfully crafted homes at Venkatesh Skydale inspire you to LOOK UP to an upgraded lifestyle.","['https://is1-2.housingcdn.com/4f2250e8/d71ba174e4f16ebfc60462c271c9685a/v0/_p/venkatesh_skydale-hingne_khurd-pune-shree_venkatesh_buildcon.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/d71ba174e4f16ebfc60462c271c9685a/v0/large/venkatesh_skydale-hingne_khurd-pune-shree_venkatesh_buildcon.jpeg', 'https://img.youtube.com/vi/_7xf4AXYeTE/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/2220f8dfbffce423df97b9e63a70f214/v0/_p.jpeg']",
42,Nanded Bageshree,"Sinhagad Road, Nanded Phata, Shivane, Dhayari, Sinhagad Road, Pune",2 BHK Apartment,"Nov, 2022",6.61 K/sq.ft,600.00 sq.ft. - 603.00 sq.ft.,6 Acres,680 units,"Nov, 2019","Nanded City Development has launched premium mega residential project Bageshree in Dhayari, Pune. The project will be spread over a total area of 6.07 acres and is offering comfortable and spacious 2 BHK apartments exclusively. Carpet area of 2 BHK apartments is in the range of 600 to 603 sq ft. Amenities available for the convenience of residents are closed car parking areas, open parking areas, health facilities, community buildings, lifts, gymnasium, tennis court, badminton court, jogging track, swimming pool, skating rink, open area for recreational activities, landscaping and tree planting, electrical meter room, sub-station, receiving station, fire protection, fire safety equipment, well-lit internal roads, regular supply of water, and other facilities are provided in the complex. All work related to solid waste management and disposal, treatment of sewage and sullage water, sewerage chamber, lines, septic tank, and STP are handled in the premises. Water conservation, energy management, and rainwater harvesting are done to save resources. CCTV cameras will be installed in the complex for the safety and security of the residents. Specifications included in the apartments are vitrified tiles flooring in bedrooms, oil bound distemper on the walls, branded sanitary fittings in the bathrooms, aluminium sliding windows, modular switches, a laminated flush door at the entrance, and RCC framed structure. Nanded City Development can be contacted for owning an apartment in Bageshree. A total number of 680 apartments were launched and these will be ready by May 2022 for possession. Housing is located in Dhayari which is a popular area in Pune. It is surrounded by Pimpri Taluka towards its North, Velhe Taluka towards its West and Purandar Taluka towards the East. Some of its important nearby localities are Pimpri-Chinchwad, Sasvad, and Talegaon Dabhade. Many reputed schools, educational institutes, and hospitals are established here. Restaurants, banks, and other utility shops are also located in the vicinity. Dhayari is well-connected to other areas by a network of road transport. It is a comfortable locality to own a residential place.","['https://is1-3.housingcdn.com/4f2250e8/41fe3fad37676f524f24fce1d218a8ee/v0/_p/nanded_bageshree-nanded-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/41fe3fad37676f524f24fce1d218a8ee/v0/large/nanded_bageshree-nanded-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-2.housingcdn.com/012c1500/04d53c3ed6c345c5305a2761f7cb5620/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/067b3c774048193b49e04f8499178d3b/v0/_p.jpeg']",
43,Mantra Majestique Miami Apartments,"Dhayari, Pune, Sinhagad Road, Pune", BHK ,,Price on request,On Request,4 Acres,1 Building,,"Mantra Majestique Miami Apartments is a project by Mantra Majestique. There is 1 building in this project. Mantra Majestique Miami Apartments is located in Dhayari, Pune.Mantra Majestique Miami Apartments offers a host of facilities for residents. This includes Lift, Rainwater Harvesting, Power Backup. These amenities in Mantra Majestique Miami Apartments are those that every homebuyer aspires for!.Mantra Majestique is a reputed building firm with 1 projects since its inception in 2007.Nanded is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.",[],
44,Nanded Madhuvanti,"Sinhagad Road, Dhayari, Sinhagad Road, Pune",2 BHK Apartment,"Nov, 2016",5.00 K/sq.ft,890.00 sq.ft. - 938.00 sq.ft.,,23 Buildings - 1012 units,"Aug, 2009","Pune's residential project, Nanded Madhuvanti is offering property for sale. Check out some Apartment. Available configurations include 2 BHK formats in Nanded. As per the area plan, units are in the size range of 890.0 - 938.0 sq.ft.. There are 1012 units in Nanded Madhuvanti. There are 23 buildings. Nanded Madhuvanti is located in Sinhagad Road,Pune..There are multiple amenities for residents at Nanded Madhuvanti which includes Power Backup. Sports enthusiasts will like the Cycling & Jogging Track. The property has Fire Sprinklers. It is an Earthquake Resistant Structure. Other provisions include access to Community Hall, Landscaped Garden. Own a home in Nanded Madhuvanti today!.Nanded is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/b278a29f75292e185f484597169b52e9/v0/_p/nanded_madhuvanti-kothrud-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/b278a29f75292e185f484597169b52e9/v0/large/nanded_madhuvanti-kothrud-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-2.housingcdn.com/012c1500/4a115b9bf8a9926908d16a20e09ff917/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/d5a04eebd6579d7f0e105410198f5817/v0/_p.jpeg']",
45,Venkatesh Skydale,"Sr.No. 20, Plot No. H, Beside Rajaram Bridge, Sinhagad Road, Pune","2, 3, 5 BHK Apartments","Mar, 2024",Price on request,926.00 sq.ft. - 2629.00 sq.ft.,,,,"At Venkatesh Skydale, every nook and corner of the homes inspire exuberant living and exude elegance at its forest. Living in such magnificent 2, 3, 4 & 5 BHK homes is more than just a luxury - it is a privilege. Strategically located at the heart of Pune beside Rajaram Bridge, Sinhagad Road, these homes are thoughtfully designed with world-class amenities for you to indulge into endless moments of joy. Not just that, malls, hospitals, schools & colleges, everything you need, are centrally located within a stone's throw. At Venkatesh Skydale, we have 501 Flats, 20 Shops & 23 Offices, it inspire you to LOOK UP to the rich grandeur, just as we look up to your greatness. With such a lively environment and lovely spaces, the sheer abundance at Venkatesh Skydale plays the perfect symphony of serenity and bliss. The cordially crafted state•of-the•an amenities stir your enthusiasm and uplift your exuberance. Spreading joy and sharing smiles would become a daily practice at Venkatesh Skydale. The homes at Venkatesh Skydale are designed to offer you the state-of-the•art amenities crafted to delight you. The experience of absolute comfort and unmatched style is what defines the uniqueness of Venkatesh Skydale. Come, be a part of a community that experiences exquisiteness all around. While the superior craftsmanship intrigues the artist in everyone, the artfully crafted homes at Venkatesh Skydale inspire you to LOOK UP to an upgraded lifestyle.","['https://is1-2.housingcdn.com/4f2250e8/d71ba174e4f16ebfc60462c271c9685a/v0/_p/venkatesh_skydale-hingne_khurd-pune-shree_venkatesh_buildcon.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/d71ba174e4f16ebfc60462c271c9685a/v0/large/venkatesh_skydale-hingne_khurd-pune-shree_venkatesh_buildcon.jpeg', 'https://img.youtube.com/vi/_7xf4AXYeTE/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/2220f8dfbffce423df97b9e63a70f214/v0/_p.jpeg']",
46,KJ Tower,"Off Mumbai-Bangalore Highway Near Mai Mageshkar Hospital, Warje, Pune","2, 3 BHK Apartments","Sep, 2023",Price on request,779.00 sq.ft. - 1108.00 sq.ft.,1 Acres,4 Buildings - 160 units,,"KJ Tower, coming up in the Warje are of Pune city is an under-construction project by KJ Jadhav that is spread over an area of 1.37 acres. The project has 176, 2BHK apartments spread across 4 buildings on offer. The total area of each flat is 440 square foot in size. The possession date for these apartments is slated to be in Mach 2023.Some of the amenities that are available to residents include landscaping and tree planting, closed car parking, solid waste management and rainwater harvesting.Kulkarni Hospital, Shanu Patel High School and Mahatma Udyan Park are located within a 2.5 kilometre radius.","['https://is1-2.housingcdn.com/4f2250e8/88a8d405932c653e9a1823c21828c57a/v0/_p/kj_tower-warje-pune-kj_jadhav.jpg', 'https://is1-2.housingcdn.com/4f2250e8/88a8d405932c653e9a1823c21828c57a/v0/large/kj_tower-warje-pune-kj_jadhav.jpg', 'https://is1-3.housingcdn.com/012c1500/a686eeeb19b28ce00ae63c1b6b499581/v0/_p.jpg', 'https://is1-2.housingcdn.com/012c1500/0bbd043215464688f2dc15194cf2260c/v0/_p.jpg']",
47,Amit Astonia Royale Phase III P Building,"S No 56 Part, 62 Part, 63 Part, Haveli, Ambegaon Budruk, Pune",3 BHK Apartment,"Dec, 2023",7.29 K/sq.ft,835.00 sq.ft. - 847.00 sq.ft.,,1 Building - 81 units,"Jan, 2014","Astonia Royale is a residential venture by Amit Enterprises Housing and is located in Pune at Ambegaon Budruk. The project has 2 BHK and 3 BHK flats up for sale. The units come in a variety of configurations.Astonia Royale is a premium property with a host of amenities including an amphitheatre, community hall, gymnasium, landscaped gardens, children's play area and more. These amenities make it a perfect choice for those who want to unwind after a day's work.There are many reputed schools and hospitals in the proximity to the project.The Mumbai-Pune expressway provides good connectivity and the Hadapsar and Hinjewadi IT parks are close by.","['https://is1-2.housingcdn.com/4f2250e8/5de2c749a7031693566c8eb36d974702/v2/_p/amit_astonia_royale_phase_iii_p_building-ambegaon_budruk-pune-amit_enterprises_housing_ltd.jpg', 'https://is1-2.housingcdn.com/4f2250e8/5de2c749a7031693566c8eb36d974702/v2/large/amit_astonia_royale_phase_iii_p_building-ambegaon_budruk-pune-amit_enterprises_housing_ltd.jpg', 'https://is1-2.housingcdn.com/012c1500/00d359949981b28bbc958233a1b06921/v0/_p.jpg', 'https://is1-2.housingcdn.com/012c1500/0b9efd3bfa4f1b9e7c7e40074a00bd45/v2/_p.jpg']",
48,Shree Skydale Phase 2,"Survey No. 20/1, Plot H, Hingne Khurd, Vadgaon Budruk, Sinhagad Road, Pune","1, 2, 2.5, 3.5 BHK Apartments","Jun, 2025",13.82 K/sq.ft,614.00 sq.ft. - 1146.00 sq.ft.,1 Acres,,"Feb, 2020","Looking for Apartment in Hingne Khurd, Pune?. Venkatesh Skydale Phase 2 is a project by Shree Venkatesh Buildcon Pvt Ltd. The project is offering 1 BHK, 2 BHK, 2.5 BHK, 3.5 BHK. Venkatesh Skydale Phase 2 is a Under Construction residential project. There are 120 units. There is 1 building in this project. As per the area plan, units are in the size range of 613.0 - 1146.0 sq.ft.. Venkatesh Skydale Phase 2 is located in Survey No. 20/1, Plot H, Hingne Khurd, Vadgaon Budruk.Venkatesh Skydale Phase 2 offers a host of facilities for residents. This includes Power Backup. All residents have access to Internet / Wi-Fi, Air Conditioned, provisions in the project. Other provisions include access to Aggregate area of recreational Open Space, Electrical Meter Room, Energy management, Landscaping & Tree Planting, Solid Waste Management And Disposal, Storm Water Drains, The property is has Fire Protection And Fire Safety Requirements. There is provision for Closed Car Parking. These amenities in Venkatesh Skydale Phase 2 are those that every homebuyer aspires for!.RERA ID is P52100024644.Venkatesh Skydale Phase 2 is RERA-compliant and all necessary approvals are in place.Shree Venkatesh Buildcon Pvt Ltd is a reputed building firm with 16 projects since its inception in 2000.Hingne Khurd is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/03f24225dc63a2b9597b50137670db3e/v0/_p/shree_skydale_phase_2-hingne_khurd-pune-shree_venkatesh_buildcon.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/03f24225dc63a2b9597b50137670db3e/v0/large/shree_skydale_phase_2-hingne_khurd-pune-shree_venkatesh_buildcon.jpeg', 'https://img.youtube.com/vi/_7xf4AXYeTE/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/1f4b4ef533a6b7aa26a99865d87de6f5/v0/_p.jpeg']",
49,Sai Mystique,"Vadgaon Budruk, Pune, Pune",2 BHK Apartment,Ready to Move,4.60 K/sq.ft,968.00 sq.ft. - 1088.00 sq.ft.,8 Acres,9 Buildings - 329 units,"May, 2010","Sai Mystique 130 is a perfectly crafted edifice for you to enjoy a colorful living. It comes with so many options of elegant units, with best in class architecture, comfort and style. Not only this, the project also comes at a very reasonable price making it very irresistible. The homes guarantee positive aura everywhere. The amazingly spacious apartments have ample cross ventilation and ensure that the fresh breeze and natural light enter easily. Since, privacy is of utmost importance to the families, therefore special care has been taken to ensure that the occupants own private yet open homes.","['https://is1-2.housingcdn.com/4f2250e8/5e04218f11a937b36ca551ea296d930d/v5/_p/sai_mystique-ambegaon_budruk-pune-sai_sree_developers_pvt_ltd.jpg', 'https://is1-2.housingcdn.com/4f2250e8/5e04218f11a937b36ca551ea296d930d/v5/large/sai_mystique-ambegaon_budruk-pune-sai_sree_developers_pvt_ltd.jpg', 'https://is1-2.housingcdn.com/012c1500/057eeb512e5f702c75243523394179a1/v6/_p.jpg', 'https://is1-2.housingcdn.com/012c1500/6a3309bd01d863c046c68fde784981ea/v6/_p.jpg']",
50,KJ Tower,"Off Mumbai-Bangalore Highway Near Mai Mageshkar Hospital, Warje, Pune","2, 3 BHK Apartments","Sep, 2023",Price on request,779.00 sq.ft. - 1108.00 sq.ft.,1 Acres,4 Buildings - 160 units,,"KJ Tower, coming up in the Warje are of Pune city is an under-construction project by KJ Jadhav that is spread over an area of 1.37 acres. The project has 176, 2BHK apartments spread across 4 buildings on offer. The total area of each flat is 440 square foot in size. The possession date for these apartments is slated to be in Mach 2023.Some of the amenities that are available to residents include landscaping and tree planting, closed car parking, solid waste management and rainwater harvesting.Kulkarni Hospital, Shanu Patel High School and Mahatma Udyan Park are located within a 2.5 kilometre radius.","['https://is1-2.housingcdn.com/4f2250e8/88a8d405932c653e9a1823c21828c57a/v0/_p/kj_tower-warje-pune-kj_jadhav.jpg', 'https://is1-2.housingcdn.com/4f2250e8/88a8d405932c653e9a1823c21828c57a/v0/large/kj_tower-warje-pune-kj_jadhav.jpg', 'https://is1-3.housingcdn.com/012c1500/a686eeeb19b28ce00ae63c1b6b499581/v0/_p.jpg', 'https://is1-2.housingcdn.com/012c1500/0bbd043215464688f2dc15194cf2260c/v0/_p.jpg']",
51,Rucha Stature,"S No. 143/1, Vadgaon Budhruk 11/1 Part, Sinhagad Road, Dhayari, Sinhagad Road, Pune","1.5, 2, 3 BHK Apartments","Jul, 2024",Price on request,545.00 sq.ft. - 975.00 sq.ft.,2 Acres,,,"Stature is a premium residential project proposed by developer Rucha, it will be located in Dhayari, Pune. The project will be built on an area of 1.76 acres and will be offering 1, 2, and 3 BHK apartments for sale. Carpet area of 1 BHK apartments will be 563 sq ft. for 2 BHK apartments it will be in the range of 545 to 842 sq ft. and for 3 BHK apartments it will be 975 sq ft. Amenities available for the convenience of residents will be closed car parking areas, open parking areas, open area for recreational activities, landscaping and tree planting, community buildings, electrical meter room, sub-station, receiving station, fire protection, fire safety equipment, well-lit internal roads, regular supply of water, and other facilities will be provided in the complex. All work related to solid waste management and disposal, treatment of sewage and sullage water, sewerage chamber, lines, septic tank, and STP will be handled in the premises. Water conservation, energy management, and rainwater harvesting will be done to save resources. Dhayari is a popular area in Pune. It is located close to prominent areas like Pimpri-Chinchwad, Sasvad, Talegaon Dabhade. A number of reputed schools, educational institutes, and hospitals are established here. Restaurants, banks, and other utility shops are also located in the vicinity. It is a comfortable locality to own a residential place. Stature is proposed to be ready by January 2024 for possession. Developer Rucha can be contacted for booking of apartments.","['https://is1-2.housingcdn.com/4f2250e8/7a1cd8fe0bb00abb970eb09a9f1a042b/v0/_p/rucha_stature-dhayari-pune-rucha_promoters__developers_pvt_ltd.jpg', 'https://is1-2.housingcdn.com/4f2250e8/7a1cd8fe0bb00abb970eb09a9f1a042b/v0/large/rucha_stature-dhayari-pune-rucha_promoters__developers_pvt_ltd.jpg', 'https://img.youtube.com/vi/L8KOO94TTmw/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/14d69ba5af918b75423c20d105ec5f56/v0/_p.jpg']",
52,Nanded Madhuvanti,"Sinhagad Road, Dhayari, Sinhagad Road, Pune",2 BHK Apartment,"Nov, 2016",5.00 K/sq.ft,890.00 sq.ft. - 938.00 sq.ft.,,23 Buildings - 1012 units,"Aug, 2009","Pune's residential project, Nanded Madhuvanti is offering property for sale. Check out some Apartment. Available configurations include 2 BHK formats in Nanded. As per the area plan, units are in the size range of 890.0 - 938.0 sq.ft.. There are 1012 units in Nanded Madhuvanti. There are 23 buildings. Nanded Madhuvanti is located in Sinhagad Road,Pune..There are multiple amenities for residents at Nanded Madhuvanti which includes Power Backup. Sports enthusiasts will like the Cycling & Jogging Track. The property has Fire Sprinklers. It is an Earthquake Resistant Structure. Other provisions include access to Community Hall, Landscaped Garden. Own a home in Nanded Madhuvanti today!.Nanded is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/b278a29f75292e185f484597169b52e9/v0/_p/nanded_madhuvanti-kothrud-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/b278a29f75292e185f484597169b52e9/v0/large/nanded_madhuvanti-kothrud-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-2.housingcdn.com/012c1500/4a115b9bf8a9926908d16a20e09ff917/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/d5a04eebd6579d7f0e105410198f5817/v0/_p.jpeg']",
53,Nanded Mangal Bhairav,"Nanded Near Dhayari, Sinhagad Road, Pune",1 BHK Apartment,"Dec, 2015",6.67 K/sq.ft,550.00 sq.ft. - 585.00 sq.ft.,,38 Buildings - 1672 units,"Aug, 2008","Nanded Mangal Bhairav is a project by Nanded City Development and Construction in Pune. It is a Ready to Move project. Nanded Mangal Bhairav offers some of the most conveniently designed Apartment. Located in Nanded, it is a residential project. It has 1672 units. There are 38 buildings in this project. Nanded Mangal Bhairav offers some of the most exclusive 1 BHK. As per the area plan, units are in the size range of 550.0 - 585.0 sq.ft.. Launched in September 2008, Nanded Mangal Bhairav is slated for possession in Dec, 2015. The address of Nanded Mangal Bhairav is Nanded Near Dhayari.Nanded Mangal Bhairav ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Lift, Rainwater Harvesting, Gymnasium, Power Backup. If you are a sports lover, there are provisions meant for you such as Cycling & Jogging Track. Young families with kids can explore modern-arrangements for leisure and play such as Children's Play Area, nearby apart from Swimming Pool, Sports Area. There is 24x7 Security. Some other provisions include access to Landscaped Garden, Staff Quarter.Nanded is well-connected to other parts of the city via an extensive road.","['https://is1-3.housingcdn.com/4f2250e8/763acf40c4b1b5be6c6e9fa1bf5769a4/v0/_p/nanded_mangal_bhairav-nanded-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/763acf40c4b1b5be6c6e9fa1bf5769a4/v0/large/nanded_mangal_bhairav-nanded-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/2f85bae07d2f0026565ec447a6028139/v0/_p.jpg', 'https://is1-2.housingcdn.com/012c1500/3ca0c75a935e893ce6938587b7af26c8/v0/_p.jpg']",
