,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,About,images
86,SOUL & SOIL,"Chikkagubbi On Hennur Main Road, North Bangalore, Bangalore","1, 3, 4 BHK Apartment, Villas","Feb, 2023",Price on request,2128.00 sq.ft.,,94 units,"Jun, 2018","Phase 2 Launched
  Set across seven cozy acres, one of the prime features of this project is a skylight in every home, a simple design detail that instantly connects the resident to the world outside. Apart from which all homes have compact internal courtyards and a host of community spaces.","['https://is1-2.housingcdn.com/4f2250e8/3b90da567e7fed7958bff098749c3ec0/v0/_p/soul__soil-hennur_main_road-bengaluru-assetz_property_group.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/3b90da567e7fed7958bff098749c3ec0/v0/large/soul__soil-hennur_main_road-bengaluru-assetz_property_group.jpeg', 'https://img.youtube.com/vi/0yh46g1RhB0/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/03d62ee4be1e7aad7c82c8f72ea5ef4b/v0/_p.jpeg']"
87,Adarsh Pinecourt,"Sy No. 91, Chikkagubbi On Hennur Main Road, North Bangalore, Bangalore","2, 2.5, 3 BHK Apartments","Aug, 2022",5.00 K/sq.ft,1172.00 sq.ft. - 1822.00 sq.ft.,4 Acres,201 units,"Jan, 2019","Located close to Royal Care Speciality Hospital, Adarsh Pinecourt is an excellent new residential real estate project available for your consideration at Chikkagubbi on Hennur Main Road, Bangalore. Created by Adarsh Developers, the sprawling complex offers you latest conveniences such as a gymnasium and garden for a very reasonable price.Epitomizing the exceptional living experience, it introduces apartments that are replete with all the possible features. This lavish creation is peacefully away from the city nuisance yet close to all the likely services. The vast 2 BHK and 3 BHK apartments with contemporary rooms they are a smart and wonderful blend of abundance and affordability. The flats with spacious and airy rooms are a joy to live in and offer you an fantastic lifestyle. Surrounded by encouraging greenery Adarsh Pinecourt is the ample housing investment for you and a mystic abode for your family. It is perfect as your place to withdraw from life to find contentment and rest.","['https://is1-2.housingcdn.com/4f2250e8/e458152e8f83af65a95f3b88fc50cf0a/v0/_p/adarsh_pinecourt-chikkagubbi_village-bengaluru-adarsh_developers.jpg', 'https://is1-2.housingcdn.com/4f2250e8/e458152e8f83af65a95f3b88fc50cf0a/v0/large/adarsh_pinecourt-chikkagubbi_village-bengaluru-adarsh_developers.jpg', 'https://img.youtube.com/vi/dPlaDdSQfJ4/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/acd4ac1314548e39b9cd13219d3b6470/v0/_p.jpeg']"
88,Salarpuria Sattva Aspire,"Near United Public School,Hennur, Chikkagubbi On Hennur Main Road, North Bangalore, Bangalore",3 BHK Apartment,Ready to Move in,5.69 K/sq.ft,1904.00 sq.ft.,2 Acres,3 Buildings - 119 units,"Aug, 2013","Salarpuria Sattva Aspire is a project by Salarpuria Sattva in Bangalore. It is a Ready to Move in project. Salarpuria Sattva Aspire offers some of the most conveniently designed Apartment. Located in Chikkagubbi Village, it is a residential project. The project is spread over 2 Acres . It has 119 units. There are 3 buildings in this project. Salarpuria Sattva Aspire offers some of the most exclusive 3 BHK. As per the area plan, units are in the size of 1904.0 sq.ft.. Launched in September 2013, Salarpuria Sattva Aspire is slated for possession in Dec, 2016. The address of Salarpuria Sattva Aspire is Near United Public School,Hennur, Chikkagubbi On Hennur Main Road.Salarpuria Sattva Aspire ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. If you are a sports lover, there are provisions meant for you such as Cycling & Jogging Track. Young families with kids can explore modern-arrangements for leisure and play such as Children's Play Area, nearby apart from Swimming Pool. There is 24x7 Security. Some other provisions include access to Landscaped Garden, Multipurpose Room, Staff Quarter.All major banks such as HDFC, LIC Housing Finance have approved home loans for Salarpuria Sattva Aspire. You can also avail of Pay 5% now & Move-in today, Limited-time offer.Established in 1986, Salarpuria Sattva is a renowned developer firm. Till date, Salarpuria Sattva has developed 63 projects with a focus on healthy and sustainable lifestyle.Chikkagubbi Village is well-connected to other parts of the city via an extensive road.","['https://is1-2.housingcdn.com/4f2250e8/bfcb9e6ec2f8093fb16e1fc6269513f9/v0/_p/salarpuria_sattva_aspire-hennur_main_road-bengaluru-salarpuria_sattva.jpg', 'https://is1-2.housingcdn.com/4f2250e8/bfcb9e6ec2f8093fb16e1fc6269513f9/v0/large/salarpuria_sattva_aspire-hennur_main_road-bengaluru-salarpuria_sattva.jpg', 'https://img.youtube.com/vi/wbIbO1fWVYk/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/9522a3668ca4bc73b463148820eee355/v0/_p.png']"
89,Arinaa Country Farms,"Seegekota, Kanakapura, Kanakpura Road-Kanakpura, Bangalore",Residential Plots,Ready to Move,599/sq.ft,5659.00 sq.ft. - 16247.00 sq.ft.,15 Acres,50 units,,"Arinaa Country Farms is a residential plot of Delight living spaces. This plot is available for sale in Kanakapura, Bangalore. This project offers plots in various sizes. The minimum plot size is 5659.0 sq. ft. and the maximum size is 16247.0 sq. ft. The address of Arinaa Country Farms is Survey Number 69, Seegekota, Kanakapura.
Arinaa Country Farms ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium.  For families with kids, there is a Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of the Tennis Court, Cricket Pitch.  Residents can also enjoy Internet / Wi-Fi, provisions in the project.  There is 24x7 Security.
This residential land for sale is RERA approved. For details, check RERA ID Rera Not Required.
Delight living spaces Developers is a reputed developer firm established in 2010. The firm has since then developed 4 and focuses on customer-centricity. Check out the Arinaa Country Farms brochure for more details.
Seegekota is well-connected to other parts of the city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, schools, and hospitals are present in the proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/55d26dfb3193ad78cc4d6794a863f657/v0/_p/arinaa_country_farms-kanakapura_1-bengaluru-delight_properties.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/55d26dfb3193ad78cc4d6794a863f657/v0/large/arinaa_country_farms-kanakapura_1-bengaluru-delight_properties.jpeg', 'https://is1-3.housingcdn.com/012c1500/11b6e6b453dab5e5802268fb4b327246/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/172f478f07fb2cdd921359fd530a99f0/v0/_p.jpeg']"
90,Provident Tivoli Hills,"Devanahalli, Nandi Hill Road, Bangalore",Residential Plots,"Sep, 2023",5.58 K/sq.ft,1200.00 sq.ft. - 3200.00 sq.ft.,61 Acres (51% open),839 units,,"Puravankara Tivoli Hills is a residential plot by Puravankara Limited. This plot is available for sale in Devanahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 3200.0 sq.ft.. The address of Puravankara Tivoli Hills is Devanahalli.Puravankara Tivoli Hills ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup.  For families with kids, there is Children's Play Area, Kid's Pool, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Tennis Court, Cricket Pitch, Skating Rink, Aerobics Room, Basketball Court, Badminton Court.  The property is equipped with Fire Sprinklers.Puravankara Limited is a reputed developer firm established in 1975. The firm has since then developed 78 and focuses on customer-centricity. Check out Puravankara Tivoli Hills brochure for more details.Devanahalli is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/046397c05f81f547624a89c5317a2051/v0/_p/provident_tivoli_hills-devanahalli-bengaluru-provident_housing_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/046397c05f81f547624a89c5317a2051/v0/large/provident_tivoli_hills-devanahalli-bengaluru-provident_housing_limited.jpeg', 'https://img.youtube.com/vi/rGnldUmxMxg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/0c47796f0d85088cf5a8c4aa5e851efb/v0/_p.jpeg']"
91,Real Southscapes Residential Layout,"Sy. No. 359/3, 360/2, 361/1, 362 And 363/2, Shivanahalli Village, Kasaba Hobli, Kanakapura, Bangalore",Residential Plots,"Aug, 2018",795/sq.ft,1200.00 sq.ft. - 2920.00 sq.ft.,13.79 Acres,214 units,"Jul, 2015","Real Southscapes Residential Layout is a residential plot by Real Wealth Houses. This plot is available for sale in Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 2920.0 sq.ft.. This project was launched on July 2015. There are 214 units in Real Southscapes Residential Layout. The address of Real Southscapes Residential Layout is Sy. No. 359/3, 360/2, 361/1, 362 And 363/2, Shivanahalli Village, Kasaba Hobli, Kanakapura.Real Southscapes Residential Layout ensures a coveted lifestyle and offers a convenient living.  There is 24x7 Security. Other provisions include access to Landscaped Garden, Sewage Treatment Plant.Bank loan is approved from major banks such as PNB Housing Finance, Axis Bank, LIC Housing Finance, HDFC, Indiabulls Finance, IIFL, Citibank, L&T Housing Finance, DHFL.This residential land for sale is RERA approved. For details, check RERA ID PRM/KA/RERA/1250/305/PR/171021/001214.Check out Real Southscapes Residential Layout brochure for more details. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/22c08946ecd75b75b9616b856ff52429/v2/_p/real_southscapes_residential_layout-bangalore-bengaluru-real_wealth_houses.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/22c08946ecd75b75b9616b856ff52429/v2/large/real_southscapes_residential_layout-bangalore-bengaluru-real_wealth_houses.jpeg', 'https://is1-3.housingcdn.com/012c1500/a89c051b4c343c0545c81bb171b2f62c/v2/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/bfc8a37bf40388bdfe503b355c065968/v2/_p.jpeg']"
92,Siddartha Solitaire Phase 2,"Beretena Agrahara Village, Begur Hobli, Hosa Road, South Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",5.13 K/sq.ft,1073.00 sq.ft. - 1400.00 sq.ft.,1.68 Acres,156 units,"Oct, 2021","Residential project, Siddartha Solitaire Phase 2 in Bangalore is offering units for sale in Rayasandra. Check out some Apartment that suit your lifestyle and liking. Possession date of Siddartha Solitaire Phase 2 is Dec, 2023. The property offers 2 BHK, 3 BHK units. As per the area plan, units are in the size range of 1073.0 - 1400.0 sq.ft.. The project by Siddartha Builders is set in 1.68 Acres . This residential project was launched in October 2021. It has 156 units. Contact for further details. Siddartha Solitaire Phase 2 is located in Beretena Agrahara Village, Begur Hobli, Hosa Road.In terms of facilities, Siddartha Solitaire Phase 2 is loaded with multiple offerings such as Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Immerse yourself in a world of sports with provisions for Cycling & Jogging Track. The property has Fire Sprinklers.Siddartha Solitaire Phase 2 follows all rules as prescribed by the state RERA. All details are furnished on the RERA portal as well.ID is PRM/KA/RERA/1251/310/PR/211022/004370.Siddartha Builders is a very well-known developer-firm in this real estate market. The company started its operations in 2005 and has went on to build 7 projects so far. Residents and their lifestyle are at the centre of their developments.Prominent suburbs of Bangalore are close by to Rayasandra and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.","['https://is1-2.housingcdn.com/4f2250e8/3bdcc64fc8ce3fe84177fecb98a4c419/v0/_p/siddartha_solitaire_phase_2-rayasandra-bengaluru-siddartha_builders.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/3bdcc64fc8ce3fe84177fecb98a4c419/v0/large/siddartha_solitaire_phase_2-rayasandra-bengaluru-siddartha_builders.jpeg', 'https://is1-3.housingcdn.com/012c1500/308472ca926876538709256753084b4c/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/fce68d47cea3fd372cadd938a53fd003/v0/_p.jpeg']"
93,Provident Tivoli Hills,"Devanahalli, Nandi Hill Road, Bangalore",Residential Plots,"Sep, 2023",5.58 K/sq.ft,1200.00 sq.ft. - 3200.00 sq.ft.,61 Acres (51% open),839 units,,"Puravankara Tivoli Hills is a residential plot by Puravankara Limited. This plot is available for sale in Devanahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 3200.0 sq.ft.. The address of Puravankara Tivoli Hills is Devanahalli.Puravankara Tivoli Hills ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup.  For families with kids, there is Children's Play Area, Kid's Pool, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Tennis Court, Cricket Pitch, Skating Rink, Aerobics Room, Basketball Court, Badminton Court.  The property is equipped with Fire Sprinklers.Puravankara Limited is a reputed developer firm established in 1975. The firm has since then developed 78 and focuses on customer-centricity. Check out Puravankara Tivoli Hills brochure for more details.Devanahalli is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/046397c05f81f547624a89c5317a2051/v0/_p/provident_tivoli_hills-devanahalli-bengaluru-provident_housing_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/046397c05f81f547624a89c5317a2051/v0/large/provident_tivoli_hills-devanahalli-bengaluru-provident_housing_limited.jpeg', 'https://img.youtube.com/vi/rGnldUmxMxg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/0c47796f0d85088cf5a8c4aa5e851efb/v0/_p.jpeg']"
94,Ramky One Karnival,"Margondanahallii, Electronic City Phase 1, South Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",4.90 K/sq.ft,755.00 sq.ft. - 1470.00 sq.ft.,7 Acres,502 units,"Mar, 2020","RamkyOne Karnival sets new standards in luxury living and contemporary design. The ongoing residential projects located at Electronic City Phase 1 in South Bangalore offers newer horizons of luxury living at affordable prices with 2 BHK and 3 BHK flats. With top-of-the-line amenities and a refreshing landscape, it is truly an address created to celebrate those little moments that herald an unforgettable life. The ongoing residential project is planned to finish by March 2025. However, Ramky Estates has always delivered its projects much earlier than scheduled and will uphold this legacy with RamkyOne Karnival luxury apartments, assuring before-date possession for our esteemed customers.","['https://is1-3.housingcdn.com/4f2250e8/0d0dfbb96e867ecedc448fdcda8761e1/v0/_p/ramky_one_karnival-electronic_city-bengaluru-ramky_estates__farms_ltd.jpg', 'https://is1-3.housingcdn.com/4f2250e8/0d0dfbb96e867ecedc448fdcda8761e1/v0/large/ramky_one_karnival-electronic_city-bengaluru-ramky_estates__farms_ltd.jpg', 'https://img.youtube.com/vi/hbdQM0iMawA/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/3601b2a235ef31a90878320715b8d215/v0/_p.jpg']"
95,SJR Parkway Homes,"Avalhalli Off Sarjapur Road, South Bangalore, Bangalore","1, 2, 3, 3.5 BHK Apartments",Ready to Move,Price on request,638.00 sq.ft. - 1801.00 sq.ft.,9.5 Acres,7 Buildings - 810 units,,"Are you looking forward to live in a place that is close to your workplace and at the same time offers a quality of living of the highest standards? Look no further, for SJR PrimeCorp presents Parkway Homes, some of the best flats for sale near Electronic City and also built by one of the best real estate developers in Bangalore.

Located in close proximity to Sarjapur Road, HSR layout and Mico Bosch, it holds the reputation of being one of the most well planned neighbourhoods in Bangalore’s IT Corridor and is also located close to the city’s busiest financial centres.

The property has undergone extensive planning that maximises the availability of living space and allows a resident to have 9.5 acres of serene open space. It has 7 towers each with 14 floors, with an imposing facade, radiating a quiet impression made better with bay windows that capture everyone’s attention.

The area comprises of technology companies like Mahindra Satyam, Infosys and Wipro. And state-of-the-art hospitals like Narayana Hrudayalaya and Ram Krishna Hospital.

Also located nearby are educational institutions like the Blue Bell Public School, New Bishop Cotton High School, Sorsfort International School and the Oxford School. The property is also very close to shopping centres like Total Mall Sarjapur and the Coupon Hosur Road.

Parkway Homes is the perfect example of a property where there is maximum efficiency in terms of space, for every available area has been put to good use. The sprawling 9.5 acre campus employs innovative design across the apartment blocks, gardens, amenities and the clubhouse.

The seven blocks, named after some of the greatest scientists of all time, are made to stand wide apart, with the distance between each one of them being equal to their height. This is done to make sure that every home gets an abundance of fresh air and natural light. The greenery and the space between the blocks are designed by international experts in landscape architecture.

The interiors are expertly designed in order to give every resident a sense of space and luxury. With the granite kitchen interiors and flooring, polished teakwood door frames, vitrified tiles and an abundance of fresh air and natural light, you can be certain that your new home will be the dream home that you may have envisaged for a very long time.

We at SJR Corp understand every resident’s need for personal space and as such, the apartments are designed keeping that factor in mind. The bedrooms are isolated from the rest of the home and the layout of apartments around each building is optimized for privacy.

The amenities are designed in a way that you can lay back and relax at the end of a long day, and also that can encourage you to come up with creative ideas, making it the perfect place to spend time with your family. We are equipped with indoor badminton courts, basketball half courts, cycling tracks, swimming pools, children’s play area and a library.","['https://is1-2.housingcdn.com/4f2250e8/948ad82776ad28a825ea090fefe707b8/v0/_p/sjr_parkway_homes-sarjapur_main_road-bengaluru-sjr_prime_corporation_pvt_ltd.jpg', 'https://is1-2.housingcdn.com/4f2250e8/948ad82776ad28a825ea090fefe707b8/v0/large/sjr_parkway_homes-sarjapur_main_road-bengaluru-sjr_prime_corporation_pvt_ltd.jpg', 'https://img.youtube.com/vi/Y7OAHY1zA1c/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/044f5ea6ddb5f6d201521f405f507b87/v0/_p.jpeg']"
96,Smaya Jade Nester,"Sy No. 119 And 120, Rayasandra Village, Avalahalli Off Sarjapur Road, South Bangalore, Bangalore",Residential Plots,"Apr, 2021",4.80 K/sq.ft,585.00 sq.ft. - 3454.00 sq.ft.,6 Acres,,,"Smaya Jade Nester is a residential project in Sarjapur, Bangalore. It is set in an area of 6 Acres. Smaya Jade Nester offers Plot. Available configurations include Residential Plot. Plot, as per the area plan, are The plot area is 500.0 sq.ft.. The property is Ready to Move. Smaya Jade Nester is located in Sy No. 119 And 120, Rayasandra Village, Avalahalli Off Sarjapur Road. The project is developed by Smaya Builders And Developers.Cycling & Jogging Track - these are some avenues for sports lovers. There is 24x7 Security. Enjoy a class-apart lifestyle at Smaya Jade Nester.This project meets all mandates as required by the state authority. RERA ID of Smaya Jade Nester is PRM/KA/RERA/1251/308/PR/200103/003105.Located close to prominent suburbs of Bangalore, the area of Rayasandra has prominent schools and hospitals within a close distance.","['https://is1-2.housingcdn.com/4f2250e8/2a1270c0ab8d02195e2db21989b99f08/v0/_p/smaya_jade_nester-sarjapur-bengaluru-smaya_builders_and_developers.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/2a1270c0ab8d02195e2db21989b99f08/v0/large/smaya_jade_nester-sarjapur-bengaluru-smaya_builders_and_developers.jpeg', 'https://is1-2.housingcdn.com/012c1500/21146715f808cd1be2ee99a3b1b31ca7/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/116e6a59a043e8b0c614f5ad8b456e79/v0/_p.jpeg']"
97,Bren Trillium,"Hosa Road, South Bangalore, Bangalore","2, 3 BHK Apartments",Ready to Move,4.39 K/sq.ft,1195.00 sq.ft. - 1672.00 sq.ft.,4 Acres,11 Buildings - 340 units,"Jan, 2013",Find peace at home and harmony at heart in your SJR-Trillium homes where luxury is not the amenities living around you but the positivity of the beautiful apartments. Life is an expedition and one must live it with verve with things around to explore to unblock your buzzed mind with daily routine. Get the sense of balance in mind when home is well ventilated with fresh air and bright sunlight to shine your homes and live life in the true sense at SJR-Trillium. The builders stressed that life is first at home and one must live life in its element ensuring comforts so that home does not become another work for you. And for your senses- a magnificent architectural beauty in and around you.,"['https://is1-2.housingcdn.com/4f2250e8/48176673e123130199e2a74e57f93cd9/v0/_p/bren_trillium-rayasandra-bengaluru-bren_corporation.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/48176673e123130199e2a74e57f93cd9/v0/large/bren_trillium-rayasandra-bengaluru-bren_corporation.jpeg', 'https://is1-2.housingcdn.com/012c1500/1223a2f8d72fbe11a41cdef00f032a43/v0/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/84e7ad5ecb2d0857de633dfb2da3164e/v0/_p.jpg']"
98,SJR Parkway Homes,"Avalhalli Off Sarjapur Road, South Bangalore, Bangalore","1, 2, 3, 3.5 BHK Apartments",Ready to Move,Price on request,638.00 sq.ft. - 1801.00 sq.ft.,9.5 Acres,7 Buildings - 810 units,,"Are you looking forward to live in a place that is close to your workplace and at the same time offers a quality of living of the highest standards? Look no further, for SJR PrimeCorp presents Parkway Homes, some of the best flats for sale near Electronic City and also built by one of the best real estate developers in Bangalore.

Located in close proximity to Sarjapur Road, HSR layout and Mico Bosch, it holds the reputation of being one of the most well planned neighbourhoods in Bangalore’s IT Corridor and is also located close to the city’s busiest financial centres.

The property has undergone extensive planning that maximises the availability of living space and allows a resident to have 9.5 acres of serene open space. It has 7 towers each with 14 floors, with an imposing facade, radiating a quiet impression made better with bay windows that capture everyone’s attention.

The area comprises of technology companies like Mahindra Satyam, Infosys and Wipro. And state-of-the-art hospitals like Narayana Hrudayalaya and Ram Krishna Hospital.

Also located nearby are educational institutions like the Blue Bell Public School, New Bishop Cotton High School, Sorsfort International School and the Oxford School. The property is also very close to shopping centres like Total Mall Sarjapur and the Coupon Hosur Road.

Parkway Homes is the perfect example of a property where there is maximum efficiency in terms of space, for every available area has been put to good use. The sprawling 9.5 acre campus employs innovative design across the apartment blocks, gardens, amenities and the clubhouse.

The seven blocks, named after some of the greatest scientists of all time, are made to stand wide apart, with the distance between each one of them being equal to their height. This is done to make sure that every home gets an abundance of fresh air and natural light. The greenery and the space between the blocks are designed by international experts in landscape architecture.

The interiors are expertly designed in order to give every resident a sense of space and luxury. With the granite kitchen interiors and flooring, polished teakwood door frames, vitrified tiles and an abundance of fresh air and natural light, you can be certain that your new home will be the dream home that you may have envisaged for a very long time.

We at SJR Corp understand every resident’s need for personal space and as such, the apartments are designed keeping that factor in mind. The bedrooms are isolated from the rest of the home and the layout of apartments around each building is optimized for privacy.

The amenities are designed in a way that you can lay back and relax at the end of a long day, and also that can encourage you to come up with creative ideas, making it the perfect place to spend time with your family. We are equipped with indoor badminton courts, basketball half courts, cycling tracks, swimming pools, children’s play area and a library.","['https://is1-2.housingcdn.com/4f2250e8/948ad82776ad28a825ea090fefe707b8/v0/_p/sjr_parkway_homes-sarjapur_main_road-bengaluru-sjr_prime_corporation_pvt_ltd.jpg', 'https://is1-2.housingcdn.com/4f2250e8/948ad82776ad28a825ea090fefe707b8/v0/large/sjr_parkway_homes-sarjapur_main_road-bengaluru-sjr_prime_corporation_pvt_ltd.jpg', 'https://img.youtube.com/vi/Y7OAHY1zA1c/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/044f5ea6ddb5f6d201521f405f507b87/v0/_p.jpeg']"
99,SJR Fiesta Homes,"Electronic City Phase 2, South Bangalore, Bangalore","1, 2, 3 BHK Apartments",Ready to Move,5.65 K/sq.ft,738.00 sq.ft. - 1755.00 sq.ft.,4 Acres,8 Buildings - 356 units,"Mar, 2012",Fiesta Homes is a plush project located in one of the most beautiful cities.This residency blossoms in the natural beauty surrounding it. Easy connectivity and premium infrastructure are some of the other features that enhances this project. Every room comes with large windows to allowing easy flow of air and natural light. All homes in Fiesta Homes comes with extra space for comfort stay. Enjoy an enchanting living experience where you can savor the benefits of having your privacy as well as community living. Having a home at Fiesta Homes is nothing less than the heaven. ,"['https://is1-3.housingcdn.com/4f2250e8/c87da52dac2a96360e9214655ee3847e/v0/_p/sjr_fiesta_homes-electronic_city-bengaluru-sjr_prime_corporation_pvt_ltd.jpg', 'https://is1-3.housingcdn.com/4f2250e8/c87da52dac2a96360e9214655ee3847e/v0/large/sjr_fiesta_homes-electronic_city-bengaluru-sjr_prime_corporation_pvt_ltd.jpg', 'https://is1-3.housingcdn.com/012c1500/30a4d2aeff582ec3c549eb05a2c05489/v6/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/bf2a6377d5f479b2c142dce5b2546be3/v6/_p.jpg']"
100,63 DEGREE EAST,"Chikkanayakanahalli At Off Sarjapur, South Bangalore, Bangalore","Studio, 2, 3 BHK Studio Apartment, Apartments","Dec, 2022",5.25 K/sq.ft,441.00 sq.ft. - 1396.00 sq.ft.,26.38 Acres (68% open),5 Buildings - 710 units,"Dec, 2015","Bangalore's residential project, 63 DEGREE EAST is offering property for sale. Check out some Apartment. Available configurations include 2 BHK, 3 BHK formats in Chikkakannalli. It is a Under Construction project by Assetz Property Group. As per the area plan, units are in the size range of 1159.0 - 1396.0 sq.ft.. 63 DEGREE EAST was launched in May 2019 and possession date is Mar, 2023. There are 325 units in 63 DEGREE EAST. There is 1 building. 63 DEGREE EAST is located in Off Sarjapur Road.There are multiple amenities for residents at 63 DEGREE EAST which includes Gymnasium, Power Backup. Sports enthusiasts will like the Tennis Court, Squash Court, Skating Rink, Basketball Court, Badminton Court, Cycling & Jogging Track. Enjoy access to Spa/Sauna/Steam, Library, provisions in the project. There is 24x7 Security. Other provisions include access to Landscaped Garden. Own a home in 63 DEGREE EAST today!.63 DEGREE EAST is a RERA registered project with ID PRM/KA/RERA/1251/446/PR/171030/000980, PRM/KA/RERA/1251/446/PR/190504/002547.Chikkakannalli is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/171d7294491080d0816044c7b766fa82/v0/_p/63_degree_east-sarjapur_main_road-bengaluru-assetz_property_group.jpg', 'https://is1-2.housingcdn.com/4f2250e8/171d7294491080d0816044c7b766fa82/v0/large/63_degree_east-sarjapur_main_road-bengaluru-assetz_property_group.jpg', 'https://img.youtube.com/vi/mem-aTXE5Bs/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/03286b93ec03ece4bdce1b9d943fde57/v0/_p.jpeg']"
101,Mahaveer Ranches Phase II,"Near Amrita Engineering College, Off Sarjapur Road, Hosa Road, South Bangalore, Bangalore",3 BHK Apartment,"Sep, 2021",5.10 K/sq.ft,1518.00 sq.ft. - 1726.00 sq.ft.,16 Acres (1% open),4 Buildings - 420 units,"Apr, 2016","If you are searching for a well-planned residential housing project in Bangalore, then Ranches Phase II a project that has the potential to meet all your needs and aspirations can be the right choice for you. This project is developed by Mahaveer Group. The project is located in Hosa Road, a fast-developing residential hub in the city. The location enjoys several advantages that are going to fall in its favour sooner than later. Buying a residential property in this project at this point in time is going to be an apt decision. Spread in over a vast area, this housing project is going to be the most eminent one in the zone. The possession is slated in the upcoming years and the project is developing at a sustained pace. If you have been waiting to become a homeowner at a high-quality project, then do not wait and visit the site to know more. We are just a call away. You will get to know all the details of the project and would hesitate further in investing with us.","['https://is1-2.housingcdn.com/4f2250e8/ef3d4c5efff5dc717fd685a7d539b2a5/v0/_p/mahaveer_ranches_phase_ii-hosa_road_1-bengaluru-mahaveer_group.jpg', 'https://is1-2.housingcdn.com/4f2250e8/ef3d4c5efff5dc717fd685a7d539b2a5/v0/large/mahaveer_ranches_phase_ii-hosa_road_1-bengaluru-mahaveer_group.jpg', 'https://img.youtube.com/vi/5MlOyqOoGbc/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/65281592dea637e44d17269411b0b322/v0/_p.jpg']"
