,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Size,Launch Date,About,images,Project Area
42,N Square West Woods,"Velimala, Kollur, Hyderabad",3 BHK Villa,"Jan, 2024",3.85 K/sq.ft,2600.00 sq.ft. - 3900.00 sq.ft.,,"Dec, 2021","N Square Projects has lauched N Square West Woods in Sheriguda, Hyderabad. A residential project spread over 11 Acres , it offers ample amount of facilities for residents. The project was launched in January 2022. It offers Under Construction units. Popular configurations include 3 BHK units. As per the area plan, units are in the size range of 2600.0 - 3900.0 sq.ft.. The possession date of N Square West Woods is Jan, 2024. The address of N Square West Woods is Velimala, Kollur.Ample provision for sports avenues such as Cricket Pitch, Squash Court. Other provisions include access to Banquet Hall. Own a home in N Square West Woods today!.This project has been developed by N Square Projects. N Square Projects is a reputed developer firm with experience in developing livable spaces for homebuyers since 2005.Sheriguda is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/da3946dac1057db529b1980820c04f19/v0/_p/n_square_west_woods-kollur-medak-n_square_projects.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/da3946dac1057db529b1980820c04f19/v0/large/n_square_west_woods-kollur-medak-n_square_projects.jpeg', 'https://is1-3.housingcdn.com/012c1500/1dc949f9e333ebb4ed7e3d39ea75bea1/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/25d1ca5b0dde8a87960426bd6ef8b6d7/v0/_p.jpeg']",11 Acres
43,Sark Prime Life Spaces,"Mokila, West Hyderabad, Hyderabad","3, 4 BHK Villas","Dec, 2023",Price on request,2600.00 sq.ft. - 3000.00 sq.ft.,115 units,"Nov, 2019","Sark Prime Life Spaces is a project by Sark Projects India Pvt Ltd in Hyderabad. It is a Under Construction project. Sark Prime Life Spaces offers some of the most conveniently designed Villa. Located in Mokila, it is a residential project. The project is spread over 14 Acres . It has 115 units. Sark Prime Life Spaces offers some of the most exclusive 3 BHK, 4 BHK. As per the area plan, units are in the size range of 2600.0 - 3000.0 sq.ft.. Launched in December 2019, Sark Prime Life Spaces is slated for possession in Dec, 2023. The address of Sark Prime Life Spaces is Mokila.Sark Prime Life Spaces ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. If you are a sports lover, there are provisions meant for you such as Squash Court. Residents also have access to Internet / Wi-Fi provisions in the project. Young families with kids can explore modern-arrangements for leisure and play such as Children's Play Area, nearby apart from Swimming Pool. There is 24x7 Security. Some other provisions include access to Banquet Hall, Landscaping & Tree Planting, Sewage Treatment Plant.Established in 2004, Sark Projects India Pvt Ltd is a renowned developer firm. Till date, Sark Projects India Pvt Ltd has developed 26 projects with a focus on healthy and sustainable lifestyle.Mokila is well-connected to other parts of the city via an extensive road.","['https://is1-3.housingcdn.com/4f2250e8/63b656cf5d94a104e5873d518b00e289/v0/_p/sark_prime_life_spaces-mokila-hyderabad-sark_projects_india_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/63b656cf5d94a104e5873d518b00e289/v0/large/sark_prime_life_spaces-mokila-hyderabad-sark_projects_india_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/012c1500/0e98c54f15954c7c608ec5022f0336c3/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/1a240b8cd7875e96be0e417a8ef5f3c9/v0/_p.jpeg']",14 Acres
44,IRA M3,"Kollur, West Hyderabad, Hyderabad",2.5 BHK Apartment,"Jun, 2023",4.50 K/sq.ft,1100.00 sq.ft. - 1105.00 sq.ft.,3 Buildings - 695 units,"Oct, 2021","Check out this residential project for sale by Ira Reality in Kollur, Hyderabad. IRA M3 offers Apartment as property type. The project has been developed in an area of 5.6 Acres . It is currently Under Construction. Available configurations include 2.5 BHK. As per the area plan, units are in the size range of 1100.0 - 1105.0 sq.ft.. IRA M3 was launched in November 2021. IRA M3 possession is Jun, 2023. Altogether, there are 695 units available. There are 3 buildings in this property. The address of IRA M3 is Kollur.At IRA M3, all residents have easy access to some of the truly desired facilities such as Power Backup. Kids can use the Children's Play Area, nearby apart from Swimming Pool. Come home to IRA M3.Ira Reality is a renowned developer firm. The company was established in 2018 and has 4 projects to its credit.Kollur is a prime area, with many attractions work and recreational options just a drive away.","['https://is1-2.housingcdn.com/4f2250e8/394ff0a490429a260fc2f90d59aa4b86/v0/_p/ira_m3-kollur-hyderabad-ira_reality.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/394ff0a490429a260fc2f90d59aa4b86/v0/large/ira_m3-kollur-hyderabad-ira_reality.jpeg', 'https://img.youtube.com/vi/5Ux7GxvDkkQ/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/232f801024f678d00e737b6255707129/v0/_p.jpeg']",5.6 Acres
45,IRA Aspiration,"Kollur, West Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2023",4.80 K/sq.ft,1295.00 sq.ft. - 2195.00 sq.ft.,5 Buildings - 748 units,"Apr, 2021","Ira Aspiration is a project by Ira Reality in Hyderabad. It is a Under Construction project. Ira Aspiration offers some of the most conveniently designed Apartment. Located in Kollur, it is a residential project. The project is spread over 8 Acres . It has 748 units. There are 5 buildings in this project. Ira Aspiration offers some of the most exclusive 2 BHK, 3 BHK. As per the area plan, units are in the size range of 1295.0 - 2195.0 sq.ft.. Launched in April 2021, Ira Aspiration is slated for possession in Dec, 2023. The address of Ira Aspiration is Kollur. Ira Aspiration ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. If you are a sports lover, there are provisions meant for you such as Cricket Pitch, Basketball Court, Badminton Court. Residents also have access to Spa/Sauna/Steam, Library, Internet / Wi-Fi, Conference Room provisions in the project. Young families with kids can explore modern-arrangements for leisure and play such as Children's Play Area, Kid's Pool, nearby apart from Swimming Pool. The property has Fire Sprinklers, Fire Protection And Fire Safety Requirements. There is 24x7 Security. It is a Gated Community. Some other provisions include access to Business Center, Community Hall, Party Hall, Landscaped Garden, Storm Water Drains, Sewage Treatment Plant, Shopping Mall, Multipurpose Room. The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of Ira Aspiration is P01100002880. Established in 2018, Ira Reality is a renowned developer firm. Till date, Ira Reality has developed 3 projects with a focus on healthy and sustainable lifestyle. Kollur is well-connected to other parts of the city via an extensive road.","['https://is1-2.housingcdn.com/4f2250e8/35581219d0bc0abfcee2ee9087816077/v0/_p/ira_aspiration-kollur-hyderabad-ira_reality.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/35581219d0bc0abfcee2ee9087816077/v0/large/ira_aspiration-kollur-hyderabad-ira_reality.jpeg', 'https://img.youtube.com/vi/CP5q9G9-pyM/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/05039d030be7c9610a1b441a6ef65b02/v0/_p.jpeg', 'https://daecrzzg3cbmx.cloudfront.net/prod/digitour/projects/61540abd8b84800010329ef7/preview.jpg']",8 Acres
46,IRA M3,"Kollur, West Hyderabad, Hyderabad",2.5 BHK Apartment,"Jun, 2023",4.50 K/sq.ft,1100.00 sq.ft. - 1105.00 sq.ft.,3 Buildings - 695 units,"Oct, 2021","Check out this residential project for sale by Ira Reality in Kollur, Hyderabad. IRA M3 offers Apartment as property type. The project has been developed in an area of 5.6 Acres . It is currently Under Construction. Available configurations include 2.5 BHK. As per the area plan, units are in the size range of 1100.0 - 1105.0 sq.ft.. IRA M3 was launched in November 2021. IRA M3 possession is Jun, 2023. Altogether, there are 695 units available. There are 3 buildings in this property. The address of IRA M3 is Kollur.At IRA M3, all residents have easy access to some of the truly desired facilities such as Power Backup. Kids can use the Children's Play Area, nearby apart from Swimming Pool. Come home to IRA M3.Ira Reality is a renowned developer firm. The company was established in 2018 and has 4 projects to its credit.Kollur is a prime area, with many attractions work and recreational options just a drive away.","['https://is1-2.housingcdn.com/4f2250e8/394ff0a490429a260fc2f90d59aa4b86/v0/_p/ira_m3-kollur-hyderabad-ira_reality.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/394ff0a490429a260fc2f90d59aa4b86/v0/large/ira_m3-kollur-hyderabad-ira_reality.jpeg', 'https://img.youtube.com/vi/5Ux7GxvDkkQ/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/232f801024f678d00e737b6255707129/v0/_p.jpeg']",5.6 Acres
47,Svadha Kollaar,"Next to Birla Open Minds International School, Osman Nagar, West Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2022",5.20 K/sq.ft,1125.00 sq.ft. - 1750.00 sq.ft.,3 Buildings - 192 units,,"Hyderabad's residential project, Svadha Kollaar is offering property for sale. Check out some Apartment. Available configurations include 2 BHK, 3 BHK formats in Osman Nagar. It is a Under Construction project by Svadha Projects. Svadha Kollaar is set in an area of 2 Acres  and is complete with various modern-day amenities. As per the area plan, units are in the size range of 1125.0 - 1750.0 sq.ft.. There are 190 units in Svadha Kollaar. There are 3 buildings. Svadha Kollaar is located in Next to Birla Open Minds International School.There are multiple amenities for residents at Svadha Kollaar which includes Gymnasium, Power Backup. Young families with children will love the Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts will like the Cricket Pitch, Basketball Court, Badminton Court, Cycling & Jogging Track. Enjoy access to Internet / Wi-Fi, provisions in the project. There is 24x7 Security. Other provisions include access to Sewage Treatment Plant, Multipurpose Room. Own a home in Svadha Kollaar today!.Svadha Kollaar is a RERA registered project with ID P01100002598.Osman Nagar is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/ca03c27eb7c8de2d46e9f0015f9cd6a7/v0/_p/svadha_kollaar-osman_nagar_hyderabad-hyderabad-svadha_projects.jpg', 'https://is1-3.housingcdn.com/4f2250e8/ca03c27eb7c8de2d46e9f0015f9cd6a7/v0/large/svadha_kollaar-osman_nagar_hyderabad-hyderabad-svadha_projects.jpg', 'https://img.youtube.com/vi/7DTEAEGCMkM/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/1d97152bf8c865cd34d8e1f7681d83fd/v0/_p.jpeg']",2 Acres
48,IRA Aspiration,"Kollur, West Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2023",4.80 K/sq.ft,1295.00 sq.ft. - 2195.00 sq.ft.,5 Buildings - 748 units,"Apr, 2021","Ira Aspiration is a project by Ira Reality in Hyderabad. It is a Under Construction project. Ira Aspiration offers some of the most conveniently designed Apartment. Located in Kollur, it is a residential project. The project is spread over 8 Acres . It has 748 units. There are 5 buildings in this project. Ira Aspiration offers some of the most exclusive 2 BHK, 3 BHK. As per the area plan, units are in the size range of 1295.0 - 2195.0 sq.ft.. Launched in April 2021, Ira Aspiration is slated for possession in Dec, 2023. The address of Ira Aspiration is Kollur. Ira Aspiration ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. If you are a sports lover, there are provisions meant for you such as Cricket Pitch, Basketball Court, Badminton Court. Residents also have access to Spa/Sauna/Steam, Library, Internet / Wi-Fi, Conference Room provisions in the project. Young families with kids can explore modern-arrangements for leisure and play such as Children's Play Area, Kid's Pool, nearby apart from Swimming Pool. The property has Fire Sprinklers, Fire Protection And Fire Safety Requirements. There is 24x7 Security. It is a Gated Community. Some other provisions include access to Business Center, Community Hall, Party Hall, Landscaped Garden, Storm Water Drains, Sewage Treatment Plant, Shopping Mall, Multipurpose Room. The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of Ira Aspiration is P01100002880. Established in 2018, Ira Reality is a renowned developer firm. Till date, Ira Reality has developed 3 projects with a focus on healthy and sustainable lifestyle. Kollur is well-connected to other parts of the city via an extensive road.","['https://is1-2.housingcdn.com/4f2250e8/35581219d0bc0abfcee2ee9087816077/v0/_p/ira_aspiration-kollur-hyderabad-ira_reality.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/35581219d0bc0abfcee2ee9087816077/v0/large/ira_aspiration-kollur-hyderabad-ira_reality.jpeg', 'https://img.youtube.com/vi/CP5q9G9-pyM/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/05039d030be7c9610a1b441a6ef65b02/v0/_p.jpeg', 'https://daecrzzg3cbmx.cloudfront.net/prod/digitour/projects/61540abd8b84800010329ef7/preview.jpg']",8 Acres
49,Alekhya Elite County,"Sangareddy, North Hyderabad, Hyderabad",Residential Plots,,1.33 K/sq.ft,1503.00 sq.ft. - 4500.00 sq.ft.,,,"Hyderabad's residential project, Alekhya Elite County is offering property for sale. Alekhya Elite County is located in Sangareddy.Sports enthusiasts will like the Cycling & Jogging Track. It is a Gated Community. Other provisions include access to Landscaped Garden, Storm Water Drains. Own a home in Alekhya Elite County today!.Sangareddy is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/d1c6dc1607068b95b039f9ce50023b1b/v0/_p/alekhya_elite_county-sangareddy-hyderabad-alekhya_estates.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/d1c6dc1607068b95b039f9ce50023b1b/v0/large/alekhya_elite_county-sangareddy-hyderabad-alekhya_estates.jpeg', 'https://is1-2.housingcdn.com/012c1500/4022bfb68a2c123808ea3596cdc0b8f7/v0/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/06e4e4098e48268159e4d2da2fd3aae0/v0/_p.jpeg']",
50,Svadha Kollaar,"Next to Birla Open Minds International School, Osman Nagar, West Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2022",5.20 K/sq.ft,1125.00 sq.ft. - 1750.00 sq.ft.,3 Buildings - 192 units,,"Hyderabad's residential project, Svadha Kollaar is offering property for sale. Check out some Apartment. Available configurations include 2 BHK, 3 BHK formats in Osman Nagar. It is a Under Construction project by Svadha Projects. Svadha Kollaar is set in an area of 2 Acres  and is complete with various modern-day amenities. As per the area plan, units are in the size range of 1125.0 - 1750.0 sq.ft.. There are 190 units in Svadha Kollaar. There are 3 buildings. Svadha Kollaar is located in Next to Birla Open Minds International School.There are multiple amenities for residents at Svadha Kollaar which includes Gymnasium, Power Backup. Young families with children will love the Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts will like the Cricket Pitch, Basketball Court, Badminton Court, Cycling & Jogging Track. Enjoy access to Internet / Wi-Fi, provisions in the project. There is 24x7 Security. Other provisions include access to Sewage Treatment Plant, Multipurpose Room. Own a home in Svadha Kollaar today!.Svadha Kollaar is a RERA registered project with ID P01100002598.Osman Nagar is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/ca03c27eb7c8de2d46e9f0015f9cd6a7/v0/_p/svadha_kollaar-osman_nagar_hyderabad-hyderabad-svadha_projects.jpg', 'https://is1-3.housingcdn.com/4f2250e8/ca03c27eb7c8de2d46e9f0015f9cd6a7/v0/large/svadha_kollaar-osman_nagar_hyderabad-hyderabad-svadha_projects.jpg', 'https://img.youtube.com/vi/7DTEAEGCMkM/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/1d97152bf8c865cd34d8e1f7681d83fd/v0/_p.jpeg']",2 Acres
51,Alekhya Srivaari County Villa Plots,"Near Financial District, Nandigama, Hyderabad",Residential Plots,Ready to Move,25.00 K/sq.yd,200.00 sq.yd. - 400.00 sq.yd.,,,,"['https://is1-3.housingcdn.com/4f2250e8/b057ca91958115a775f0c71272147cde/v0/_p/alekhya_srivaari_county_villa_plots-nandigama_3-hyderabad-alekhya_infraa_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/b057ca91958115a775f0c71272147cde/v0/large/alekhya_srivaari_county_villa_plots-nandigama_3-hyderabad-alekhya_infraa_developers.jpeg', 'https://is1-3.housingcdn.com/012c1500/02181d433f38550c2660251ad0455f44/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/3367176d770f7140a4957857122632e7/v0/_p.jpeg']",
52,Alekhya Srivaari County Villa Plots,"Near Financial District, Nandigama, Hyderabad",Residential Plots,Ready to Move,25.00 K/sq.yd,200.00 sq.yd. - 400.00 sq.yd.,,,,"['https://is1-3.housingcdn.com/4f2250e8/b057ca91958115a775f0c71272147cde/v0/_p/alekhya_srivaari_county_villa_plots-nandigama_3-hyderabad-alekhya_infraa_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/b057ca91958115a775f0c71272147cde/v0/large/alekhya_srivaari_county_villa_plots-nandigama_3-hyderabad-alekhya_infraa_developers.jpeg', 'https://is1-3.housingcdn.com/012c1500/02181d433f38550c2660251ad0455f44/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/3367176d770f7140a4957857122632e7/v0/_p.jpeg']",
53,Praneeth Elite,"Near Tellapur, Kollur, West Hyderabad, Hyderabad",3 BHK Apartment,"Sep, 2024",4.70 K/sq.ft,1469.00 sq.ft. - 2287.00 sq.ft.,144 units,"Jul, 2019","Praneeths Jaagruthi Elite is a premium residential project launched by Jagruthi Constructions in Kollur, Hyderabad. The project will be developed on an area of 2.13 acres and is offering spacious and comfortable 3 BHK apartments for sale. Built-up area of 3 BHK apartments is in the range of 1469 to 2287 sq ft. Amenities available for the convenience of residents are open area for recreational activities, community buildings, electrical meter room, sub-station, receiving station, fire protection, fire safety equipment, well-lit internal roads, regular supply of water, storm water drains, and other facilities are provided in the complex. All work related to solid waste management and disposal, treatment of sewage and sullage water, sewerage chamber, lines, septic tank, and STP are handled in the premises. Water conservation, energy management, and rainwater harvesting are done to save resources. Schools, banks, restaurants, and other utility shops are located in Kollur. It is a comfortable area to own a residential place. Praneeths Jaagruthi Elite is scheduled to be ready by September 2024 for possession. Interested buyers can contact Jagruthi Constructions for owning an apartment.","['https://is1-2.housingcdn.com/4f2250e8/07fa099e31be2ea9bcea9fd243ec809c/v0/_p/praneeth_elite-kollur-hyderabad-praneeth_group.jpg', 'https://is1-2.housingcdn.com/4f2250e8/07fa099e31be2ea9bcea9fd243ec809c/v0/large/praneeth_elite-kollur-hyderabad-praneeth_group.jpg', 'https://img.youtube.com/vi/60EslYGZo_4/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/048de275f3b57f89237224cbe586fc17/v0/_p.jpeg']",2 Acres
54,Bhasyam Oxygen County Phase 1,"Kollur, West Hyderabad, Hyderabad",Residential Plots,Ready to Move,30.00 K/sq.yd,150.00 sq.yd. - 400.00 sq.yd.,8 units,"Jan, 2021","Bhasyam Oxygen County Phase 1 is a residential plot by Bhasyam Developers Hyderabad. This plot is available for sale in Kollur, Hyderabad. This project offers plots in various sizes. The minimum plot size is 150.0 sq.yd. and the maximum size is 400.0 sq.yd.. This project was launched on February 2021. There are 8 units in Bhasyam Oxygen County Phase 1. The address of Bhasyam Oxygen County Phase 1 is Kollur.Bhasyam Oxygen County Phase 1 ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Power Backup.  The property is equipped with Fire Sprinklers.The firm has since then developed 1 and focuses on customer-centricity. Check out Bhasyam Oxygen County Phase 1 brochure for more details.Kollur is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/aa9f35c7b3aefffe3fc27e75df84c233/v0/_p/bhasyam_oxygen_county_phase_1-kollur-medak-bhasyam_developers_hyderabad.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/aa9f35c7b3aefffe3fc27e75df84c233/v0/large/bhasyam_oxygen_county_phase_1-kollur-medak-bhasyam_developers_hyderabad.jpeg', 'https://is1-3.housingcdn.com/012c1500/1195d8afcaa1735e56fd297797fdcd8e/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/304198626703cc8cf95952b6a99b46e4/v0/_p.jpeg']",
55,Dukes County Phase II,"Nadigaon, Sheriguda, West Hyderabad, Hyderabad",Residential Plots,"Nov, 2022",40.00 K/sq.yd,200.00 sq.yd. - 467.00 sq.yd.,308 units,"Feb, 2020","Dukes County Phase II is a residential plot by Haripriya Developer. This plot is available for sale in Kollur, Hyderabad. This project offers plots in various sizes. The minimum plot size is 200.0 sq.yd. and the maximum size is 467.0 sq.yd.. This project was launched on March 2020. There are 308 units in Dukes County Phase II. The address of Dukes County Phase II is Nadigaon, Sheriguda.Dukes County Phase II ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Power Backup.  The property is equipped with Fire Sprinklers.  There is 24x7 Security. It is aGated Community. Other provisions include access to Landscaped Garden, Landscaping & Tree Planting.This residential land for sale is RERA approved. For details, check RERA ID P01100001900.The firm has since then developed 3 and focuses on customer-centricity. Check out Dukes County Phase II brochure for more details.Kollur is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/fc20d7d593ad7e1e678c82c78e1af795/v0/_p/dukes_county_phase_ii-kollur-hyderabad-haripriya_developers.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/fc20d7d593ad7e1e678c82c78e1af795/v0/large/dukes_county_phase_ii-kollur-hyderabad-haripriya_developers.jpeg', 'https://img.youtube.com/vi/ZRkZx8ezp74/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/7065ca86815282e95a4df5317ad0d632/v0/_p.jpeg']",30 Acres
56,Shree Gold Mine,"Kollur, West Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2024",3.91 K/sq.ft,1300.00 sq.ft. - 1600.00 sq.ft.,,"Jan, 2022","Property for sale in Kollur, Hyderabad. This project, that is, Shree Gold Mine is a well designed project by Shree Gold Mine Properties. It is offering Under Construction units. If you are looking at Apartment, you should check out Shree Gold Mine. Set in an expanse of 32 Acres , the property offers a remarkable lifestyle. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size range of 1300.0 - 1600.0 sq.ft.. Shree Gold Mine was launched in February 2022. Project possession is slated for Dec, 2024. Shree Gold Mine is located in Kollur.Come home to Shree Gold Mine. It offers multiple facilities such as Power Backup. The property is equipped with Fire Sprinklers. These amenities make this property totally aspirational.Shree Gold Mine Properties is a renowned name in the real estate space.Social infrastructure like banks, schools and parks surround Kollur area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-3.housingcdn.com/4f2250e8/5a840ecbe42e4304f4c7eaccc26f2184/v0/_p/shree_gold_mine-kollur-medak-shree_gold_mine_properties.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/5a840ecbe42e4304f4c7eaccc26f2184/v0/large/shree_gold_mine-kollur-medak-shree_gold_mine_properties.jpeg', 'https://is1-3.housingcdn.com/012c1500/2000826bed953e9b81e2e0257ff36605/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/6ceea276c12f9ca9b20506cba08712e2/v0/_p.jpeg']",32 Acres
57,Bhuvanteza Aura II,"Velimala, Kollur, West Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2024",2.38 K/sq.ft,1145.00 sq.ft. - 2415.00 sq.ft.,4 Buildings - 430 units,"Oct, 2021","Bhuvanteza Infrastructures LLP has lauched Bhuvanteza Aura II in Kollur, Hyderabad. A residential project spread over 4.75 Acres , it offers ample amount of facilities for residents. The project was launched in November 2021. It offers Under Construction units. Popular configurations include 2 BHK, 3 BHK units. As per the area plan, units are in the size range of 1145.0 - 2415.0 sq.ft.. There are 430 units in Bhuvanteza Aura II. Overall, there are 4 buildings. The possession date of Bhuvanteza Aura II is Dec, 2024. The address of Bhuvanteza Aura II is Velimala, Kollur.Enjoy a host of facilities at Bhuvanteza Aura II which includes Gymnasium, Power Backup. Children have access to Children's Play Area, nearby apart from Swimming Pool. There is 24x7 Security. Own a home in Bhuvanteza Aura II today!.This project has been developed by Bhuvanteza Infrastructures LLP.Kollur is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/3de70a9852a2f3f6b295a6a14266e643/v0/_p/bhuvanteza_aura_ii-kollur-hyderabad-bhuvanteza_infrastructures_llp.png', 'https://is1-3.housingcdn.com/4f2250e8/3de70a9852a2f3f6b295a6a14266e643/v0/large/bhuvanteza_aura_ii-kollur-hyderabad-bhuvanteza_infrastructures_llp.png', 'https://img.youtube.com/vi/06lQHNogBCE/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/55e8d224ab1fb5a34da69237c4273f15/v0/_p.png']",4.75 Acres
58,SN Prime Villas,"Kollur, West Hyderabad, Hyderabad","3 BHK Duplex, Villa","Dec, 2024",4.23 K/sq.ft,2600.00 sq.ft. - 3900.00 sq.ft.,40 units,,"*Excellent Premium Villas Prelaunch Investment option in Kondakal in R1 Zone*180 Sq yards Villa Plot with 2200 Sft Duplex Villa: Option A: 1.05Cr Fixed price including Amenities (Outright Payment in 30 days) Option B : 1.25+2.5 for amenities Fixed (50% in 30days and 50% through Loans) Option C: 1.4 CR + 5L for amenities Fixed (25% advance and rest through Loans) Note: 10L - East Facing Charges for all options (A, B, C) Permissions expected: July 2022. Launch Price: 7500/- Sft + 7.5 Lakhs for Amenities and 2.5L Clubhouse Limited Villas available for this prices","['https://is1-3.housingcdn.com/4f2250e8/f13c07d7b71bf0894e380aacf4529e72/v0/_p/sn_prime_villas-kollur-hyderabad-vainam_infra_developers_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/f13c07d7b71bf0894e380aacf4529e72/v0/large/sn_prime_villas-kollur-hyderabad-vainam_infra_developers_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/91aba65c/35be768f147e82e4c22ad63609164cf6/v0/_p.jpeg', 'https://is1-3.housingcdn.com/91aba65c/3a1061e36d42174f97be480a72eb8461/v0/_p.jpeg']",14 Acres
59,Bhashyam Oxygen County Phase 3,"Nandigama,Kollur, West Hyderabad, Hyderabad",Residential Plots,Ready to Move,23.80 K/sq.yd,150.00 sq.yd. - 1500.00 sq.yd.,,,"Bhashyam Oxygen County Phase 3 is a residential plot by Bhashyam Developers. This plot is available for sale in Nandigama, Hyderabad. This project offers plots in various sizes. The minimum plot size is 150.0 sq.yd. and the maximum size is 1500.0 sq.yd.. The address of Bhashyam Oxygen County Phase 3 is Nandigama,Kollur.Bhashyam Oxygen County Phase 3 ensures a coveted lifestyle and offers a convenient living.  There is 24x7 Security. Other provisions include access to Landscaping & Tree Planting, Storm Water Drains, Water Storage.This residential land for sale is RERA approved. For details, check RERA ID Rera Not Required.The firm has since then developed 36 and focuses on customer-centricity. Check out Bhashyam Oxygen County Phase 3 brochure for more details.Nandigama is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/b5778a9b64179171074c2c2722d0ddca/v0/_p/bhashyam_oxygen_county_phase_3-kollur-hyderabad-bhashyam_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/b5778a9b64179171074c2c2722d0ddca/v0/large/bhashyam_oxygen_county_phase_3-kollur-hyderabad-bhashyam_developers.jpeg', 'https://is1-2.housingcdn.com/012c1500/2133ba9f80a9276a6b0db5573dca70f8/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/a5d1b4eaeeed93cc759068f12cecb9e5/v0/_p.jpeg']",
